frame,source_frame,target_rule,source,target,target_n,target_pos,target_retained,target_pos_retained,thermal,baseline,delta
a1_trim_srcfull,full,trim,mugla_2021,evia_2021_extended,6940,2048,0.7463970746397075,0.7687687687687688,0.6671818306674162,0.6066755293240239,0.0605063013433923
a1_trim_srcfull,full,trim,mugla_2021,montiferru_2021,1296,203,0.5094339622641509,0.37662337662337664,0.6242862100514244,0.6655384240960163,-0.041252214044591895
a1_trim_srcfull,full,trim,evia_2021_extended,manavgat_2021,9034,620,0.4404465896348301,0.7908163265306123,0.647344479630723,0.6523679811680992,-0.005023501537376296
a1_trim_srcfull,full,trim,evia_2021_extended,bejis_2022,6712,462,0.44186965108624093,0.42,0.36817281385281386,0.32297229437229436,0.04520051948051951
a1_trim_srcfull,full,trim,evia_2021_extended,mugla_2021,32139,1974,0.7701653486700216,0.6781174854002061,0.5997987260543203,0.5934762050868149,0.006322520967505407
a1_trim_srcfull,full,trim,evia_2021_extended,montiferru_2021,2163,465,0.8502358490566038,0.862708719851577,0.7006218574667225,0.5556568765277302,0.14496498093899224
a1_trim_srcfull,full,trim,montiferru_2021,manavgat_2021,5387,407,0.2626395592608844,0.5191326530612245,0.6990675231639086,0.647277068963816,0.05179045420009265
a1_trim_srcfull,full,trim,montiferru_2021,bejis_2022,2619,187,0.17241606319947334,0.17,0.39248082606248236,0.5090614445538982,-0.11658061849141588
a1_trim_srcfull,full,trim,montiferru_2021,mugla_2021,18902,1119,0.45295950155763237,0.3844039848849193,0.5539611512576627,0.52631226909535,0.02764888216231265
a1_trim_srcfull,full,trim,montiferru_2021,evia_2021_extended,3950,1059,0.42482254248225426,0.3975225225225225,0.6745515126394342,0.6376194689716286,0.03693204366780567
a1_trim_src10km,10km,trim,manavgat_2021,bejis_2022,11809,869,0.7774193548387097,0.79,0.2891726605840414,0.3126457105711034,-0.02347304998706201
a1_trim_src10km,10km,trim,manavgat_2021,mugla_2021,36391,2523,0.8720584711238917,0.8667124699416008,0.5267076672807877,0.5521669344054306,-0.02545926712464297
a1_trim_src10km,10km,trim,manavgat_2021,evia_2021_extended,7539,2330,0.8108195310819531,0.8746246246246246,0.6392178196040692,0.6002699602948676,0.03894785930920164
a1_trim_src10km,10km,trim,manavgat_2021,montiferru_2021,1766,342,0.6941823899371069,0.634508348794063,0.6244681812208425,0.643730698469019,-0.019262517248176514
a1_trim_src10km,10km,trim,bejis_2022,manavgat_2021,5734,357,0.2795573107113256,0.45535714285714285,0.48215008525262437,0.3208197171373664,0.16133036811525797
