region,k,band,positives,negatives,auc,ci_lo,ci_hi,boot_used
bejis_2022,2,5-10,693,2654,0.8089314394890883,0.726085267880761,0.8817328047748906,1000.0
bejis_2022,2,10-inf,693,9553,0.8695038343839767,0.8116486041664958,0.9208433362822239,1000.0
mugla_2021,0,all,2911,38819,0.7773268638729566,0.7261831436032956,0.8190206726620467,1000.0
mugla_2021,0,0-0.5,2911,271,0.6562371257515391,0.6023448263873169,0.7063378162535948,1000.0
mugla_2021,0,0.5-1,2911,667,0.6695989003093781,0.6098894043763513,0.7261026923951687,1000.0
mugla_2021,0,1-2,2911,1229,0.685574679696189,0.6228126489317439,0.7493253499072313,1000.0
mugla_2021,0,2-5,2911,4512,0.7437069604532576,0.681298952044244,0.796646867430962,1000.0
mugla_2021,0,5-10,2911,8736,0.7629645328191791,0.7092045924612397,0.8101627950200583,1000.0
mugla_2021,0,10-inf,2911,23404,0.798459816932115,0.7463337070497655,0.84260764106331,1000.0
mugla_2021,1,all,2226,38145,0.8137645613153668,0.7654934161485399,0.854923318801944,1000.0
mugla_2021,1,0-0.5,2226,0,,,,
mugla_2021,1,0.5-1,2226,268,0.7294910219790535,0.653140854169714,0.7937569850956745,1000.0
mugla_2021,1,1-2,2226,1226,0.7203755043831686,0.6523005292619256,0.7915569358844728,1000.0
mugla_2021,1,2-5,2226,4511,0.7787069563210067,0.7189072844693685,0.8280960855042002,1000.0
mugla_2021,1,5-10,2226,8736,0.7982966559870199,0.7461170997385518,0.8482902754110148,1000.0
mugla_2021,1,10-inf,2226,23404,0.8321525620596413,0.7865545389817441,0.8738436695136195,1000.0
mugla_2021,2,all,1608,37482,0.8385365937507384,0.7886976510464674,0.8815627887287956,1000.0
mugla_2021,2,0-0.5,1608,0,,,,
mugla_2021,2,0.5-1,1608,0,,,,
mugla_2021,2,1-2,1608,838,0.7537361670169438,0.6692889745430566,0.8196242995050871,1000.0
mugla_2021,2,2-5,1608,4504,0.8023772263239751,0.7395548473943736,0.8549839151728013,1000.0
mugla_2021,2,5-10,1608,8736,0.8222555520246752,0.7677426920369549,0.8735984230766355,1000.0
mugla_2021,2,10-inf,1608,23404,0.8546088775061625,0.8043831383697708,0.8972765291258016,1000.0
evia_2021_extended,0,all,2664,6634,0.8641886346702445,0.825784001932013,0.899883081795218,1000.0
