scenario,T,S,contrast,method,hw95,sd_estimate,coverage95,power_0.02,power_0.05,power_0.10,p_equiv_M0.02_true0.00,p_equiv_M0.02_true0.02,p_equiv_M0.05_true0.00,p_equiv_M0.05_true0.02,mde80
central,10,3,group_contribution_V3,target_only_bootstrap,0.0118,0.0067,0.8865,0.8595,1.0000,1.0000,0.8345,0.0855,1.0000,0.9980,0.0185
central,10,3,V1_minus_V2,tile_RE_model,0.0742,0.0328,,0.0850,0.2761,0.7741,0.0000,0.0000,0.0000,0.0000,0.1033
central,10,3,V1_minus_V2,tile_cluster_bootstrap,0.0589,0.0340,0.8920,0.1535,0.3825,0.8635,0.0000,0.0000,0.1025,0.0915,0.0905
central,10,3,group_contribution_V1,tile_RE_model,0.0280,0.0124,,0.3046,0.9481,1.0000,0.0000,0.0000,0.9458,0.7146,0.0389
central,10,3,group_contribution_V1,tile_cluster_bootstrap,0.0220,0.0125,0.8990,0.4430,0.9805,1.0000,0.1710,0.0470,0.9800,0.8105,0.0335
central,10,4,mean_V3,crossed_RE_model,0.0392,0.0173,,0.1786,0.7287,0.9991,0.0000,0.0000,0.6797,0.4330,0.0546
central,10,4,mean_V3,tile_cluster_bootstrap,0.0535,0.0168,0.9950,0.0430,0.4485,0.9930,0.0000,0.0000,0.2865,0.1770,0.0690
central,10,4,mean_V3,target_only_bootstrap,0.0227,0.0168,0.7895,0.4675,0.9450,1.0000,0.0965,0.0590,0.9275,0.6975,0.0370
central,10,4,V1_minus_V3,crossed_RE_model,0.0500,0.0221,,0.1282,0.5234,0.9795,0.0000,0.0000,0.3217,0.2151,0.0696
central,10,4,V1_minus_V3,tile_cluster_bootstrap,0.0573,0.0222,0.9835,0.0700,0.3995,0.9650,0.0000,0.0000,0.1625,0.1175,0.0780
central,10,4,V1_minus_V3,target_only_bootstrap,0.0336,0.0222,0.8420,0.2980,0.7485,0.9960,0.0110,0.0085,0.6410,0.4800,0.0535
central,10,4,V2_minus_V3,crossed_RE_model,0.0847,0.0375,,0.0767,0.2231,0.6624,0.0000,0.0000,0.0000,0.0000,0.1180
central,10,4,V2_minus_V3,tile_cluster_bootstrap,0.0759,0.0363,0.9510,0.0770,0.2550,0.7280,0.0000,0.0000,0.0185,0.0130,0.1085
central,10,4,V2_minus_V3,target_only_bootstrap,0.0636,0.0363,0.8945,0.1435,0.3600,0.8240,0.0000,0.0000,0.0775,0.0560,0.0970
central,10,4,group_contribution_V3,crossed_RE_model,0.0153,0.0068,,0.7479,1.0000,1.0000,0.7078,0.0486,0.9996,0.9855,0.0213
central,10,4,group_contribution_V3,tile_cluster_bootstrap,0.0218,0.0068,0.9950,0.4210,0.9995,1.0000,0.2700,0.0100,1.0000,0.9440,0.0280
central,10,4,group_contribution_V3,target_only_bootstrap,0.0117,0.0068,0.9000,0.8715,1.0000,1.0000,0.8325,0.0780,1.0000,0.9975,0.0185
central,10,4,V1_minus_V2,tile_RE_model,0.0710,0.0314,,0.0882,0.2969,0.8090,0.0000,0.0000,0.0000,0.0000,0.0988
central,10,4,V1_minus_V2,tile_cluster_bootstrap,0.0565,0.0319,0.8925,0.1645,0.4345,0.8930,0.0000,0.0005,0.1410,0.1185,0.0870
central,10,4,group_contribution_V1,tile_RE_model,0.0278,0.0123,,0.3081,0.9507,1.0000,0.0000,0.0000,0.9482,0.7200,0.0387
central,10,4,group_contribution_V1,tile_cluster_bootstrap,0.0219,0.0121,0.9055,0.4495,0.9800,1.0000,0.1570,0.0525,0.9850,0.8070,0.0330
central,10,5,mean_V3,crossed_RE_model,0.0391,0.0173,,0.1792,0.7306,0.9991,0.0000,0.0000,0.6826,0.4350,0.0545
central,10,5,mean_V3,tile_cluster_bootstrap,0.0531,0.0171,0.9930,0.0425,0.4520,0.9910,0.0000,0.0000,0.2975,0.1760,0.0685
central,10,5,mean_V3,target_only_bootstrap,0.0226,0.0171,0.7905,0.4650,0.9430,1.0000,0.1030,0.0505,0.9245,0.7120,0.0370
central,10,5,V1_minus_V3,crossed_RE_model,0.0496,0.0219,,0.1296,0.5303,0.9811,0.0000,0.0000,0.3355,0.2234,0.0690
central,10,5,V1_minus_V3,tile_cluster_bootstrap,0.0572,0.0220,0.9805,0.0605,0.3885,0.9585,0.0000,0.0000,0.1745,0.1170,0.0785
central,10,5,V1_minus_V3,target_only_bootstrap,0.0331,0.0220,0.8435,0.2845,0.7590,0.9970,0.0120,0.0080,0.6670,0.4935,0.0535
central,10,5,V2_minus_V3,crossed_RE_model,0.0832,0.0368,,0.0777,0.2295,0.6777,0.0000,0.0000,0.0000,0.0000,0.1159
central,10,5,V2_minus_V3,tile_cluster_bootstrap,0.0753,0.0366,0.9430,0.0915,0.2600,0.7265,0.0000,0.0000,0.0160,0.0185,0.1095
central,10,5,V2_minus_V3,target_only_bootstrap,0.0627,0.0366,0.8835,0.1610,0.3615,0.8180,0.0000,0.0000,0.0770,0.0700,0.0975
central,10,5,group_contribution_V3,crossed_RE_model,0.0153,0.0067,,0.7520,1.0000,1.0000,0.7138,0.0487,0.9997,0.9860,0.0212
central,10,5,group_contribution_V3,tile_cluster_bootstrap,0.0216,0.0068,0.9940,0.4280,1.0000,1.0000,0.2790,0.0095,1.0000,0.9455,0.0280
central,10,5,group_contribution_V3,target_only_bootstrap,0.0117,0.0068,0.8765,0.8785,1.0000,1.0000,0.8435,0.0785,1.0000,0.9960,0.0180
central,10,5,V1_minus_V2,tile_RE_model,0.0690,0.0305,,0.0905,0.3112,0.8303,0.0000,0.0000,0.0000,0.0000,0.0960
central,10,5,V1_minus_V2,tile_cluster_bootstrap,0.0546,0.0301,0.8955,0.1655,0.4400,0.9170,0.0005,0.0000,0.1580,0.1365,0.0820
central,10,5,group_contribution_V1,tile_RE_model,0.0276,0.0122,,0.3102,0.9522,1.0000,0.0000,0.0000,0.9496,0.7233,0.0385
central,10,5,group_contribution_V1,tile_cluster_bootstrap,0.0219,0.0118,0.9030,0.4430,0.9865,1.0000,0.1670,0.0485,0.9885,0.8145,0.0335
central,12,3,mean_V3,crossed_RE_model,0.0319,0.0145,,0.2427,0.8798,1.0000,0.0000,0.0000,0.8731,0.5991,0.0447
central,12,3,mean_V3,tile_cluster_bootstrap,0.0448,0.0145,0.9965,0.0605,0.6365,1.0000,0.0000,0.0000,0.6115,0.3165,0.0580
central,12,3,mean_V3,target_only_bootstrap,0.0196,0.0145,0.8055,0.5395,0.9780,1.0000,0.2045,0.0795,0.9735,0.8060,0.0320
central,12,3,V1_minus_V3,crossed_RE_model,0.0428,0.0195,,0.1558,0.6486,0.9965,0.0000,0.0000,0.5446,0.3525,0.0599
central,12,3,V1_minus_V3,tile_cluster_bootstrap,0.0491,0.0198,0.9790,0.0855,0.5160,0.9890,0.0000,0.0000,0.3515,0.2375,0.0665
central,12,3,V1_minus_V3,target_only_bootstrap,0.0308,0.0198,0.8630,0.3010,0.8250,0.9990,0.0160,0.0105,0.7565,0.5560,0.0485
central,12,3,V2_minus_V3,crossed_RE_model,0.0762,0.0346,,0.0827,0.2618,0.7491,0.0000,0.0000,0.0000,0.0000,0.1065
central,12,3,V2_minus_V3,tile_cluster_bootstrap,0.0688,0.0348,0.9375,0.1050,0.3150,0.7925,0.0000,0.0000,0.0380,0.0295,0.1010
central,12,3,V2_minus_V3,target_only_bootstrap,0.0602,0.0348,0.9005,0.1600,0.4070,0.8465,0.0000,0.0000,0.0995,0.0735,0.0930
central,12,3,group_contribution_V3,crossed_RE_model,0.0124,0.0056,,0.8967,1.0000,1.0000,0.8920,0.0499,1.0000,0.9976,0.0174
central,12,3,group_contribution_V3,tile_cluster_bootstrap,0.0180,0.0056,0.9970,0.6315,1.0000,1.0000,0.6010,0.0085,1.0000,0.9965,0.0235
central,12,3,group_contribution_V3,target_only_bootstrap,0.0099,0.0056,0.8970,0.9565,1.0000,1.0000,0.9515,0.0835,1.0000,1.0000,0.0155
central,12,3,V1_minus_V2,tile_RE_model,0.0659,0.0299,,0.0938,0.3320,0.8593,0.0000,0.0000,0.0000,0.0000,0.0922
central,12,3,V1_minus_V2,tile_cluster_bootstrap,0.0547,0.0306,0.9030,0.1665,0.4460,0.9110,0.0005,0.0000,0.1625,0.1230,0.0830
central,12,3,group_contribution_V1,tile_RE_model,0.0248,0.0113,,0.3667,0.9803,1.0000,0.0000,0.0000,0.9769,0.7963,0.0347
central,12,3,group_contribution_V1,tile_cluster_bootstrap,0.0203,0.0113,0.9030,0.4880,0.9915,1.0000,0.2380,0.0565,0.9950,0.8630,0.0310
central,12,4,mean_V3,crossed_RE_model,0.0318,0.0145,,0.2441,0.8821,1.0000,0.0000,0.0000,0.8757,0.6021,0.0445
central,12,4,mean_V3,tile_cluster_bootstrap,0.0445,0.0146,0.9945,0.0585,0.6225,0.9995,0.0000,0.0000,0.6115,0.3265,0.0590
central,12,4,mean_V3,target_only_bootstrap,0.0195,0.0146,0.7975,0.5170,0.9790,1.0000,0.2080,0.0870,0.9750,0.8260,0.0330
central,12,4,V1_minus_V3,crossed_RE_model,0.0422,0.0192,,0.1591,0.6618,0.9971,0.0000,0.0000,0.5666,0.3658,0.0590
central,12,4,V1_minus_V3,tile_cluster_bootstrap,0.0491,0.0190,0.9815,0.0775,0.5305,0.9955,0.0000,0.0000,0.3755,0.2345,0.0665
central,12,4,V1_minus_V3,target_only_bootstrap,0.0305,0.0190,0.8625,0.3145,0.8320,1.0000,0.0135,0.0090,0.7705,0.5785,0.0475
central,12,4,V2_minus_V3,crossed_RE_model,0.0740,0.0336,,0.0846,0.2746,0.7731,0.0000,0.0000,0.0000,0.0000,0.1034
central,12,4,V2_minus_V3,tile_cluster_bootstrap,0.0675,0.0341,0.9440,0.1025,0.3165,0.8215,0.0000,0.0000,0.0340,0.0365,0.0975
central,12,4,V2_minus_V3,target_only_bootstrap,0.0585,0.0341,0.8940,0.1695,0.4110,0.8730,0.0000,0.0000,0.0970,0.0830,0.0890
central,12,4,group_contribution_V3,crossed_RE_model,0.0123,0.0056,,0.9014,1.0000,1.0000,0.8972,0.0499,1.0000,0.9978,0.0172
central,12,4,group_contribution_V3,tile_cluster_bootstrap,0.0179,0.0055,0.9965,0.6295,1.0000,1.0000,0.6235,0.0075,1.0000,0.9955,0.0235
central,12,4,group_contribution_V3,target_only_bootstrap,0.0097,0.0055,0.8950,0.9520,1.0000,1.0000,0.9555,0.0805,1.0000,1.0000,0.0150
central,12,4,V1_minus_V2,tile_RE_model,0.0631,0.0286,,0.0979,0.3573,0.8875,0.0000,0.0000,0.0000,0.0000,0.0882
central,12,4,V1_minus_V2,tile_cluster_bootstrap,0.0521,0.0287,0.9000,0.1655,0.4930,0.9375,0.0000,0.0000,0.2080,0.1515,0.0775
central,12,4,group_contribution_V1,tile_RE_model,0.0247,0.0112,,0.3709,0.9816,1.0000,0.0000,0.0000,0.9781,0.8011,0.0345
central,12,4,group_contribution_V1,tile_cluster_bootstrap,0.0203,0.0112,0.9115,0.4925,0.9935,1.0000,0.2185,0.0450,0.9960,0.8570,0.0305
central,12,5,mean_V3,crossed_RE_model,0.0317,0.0144,,0.2450,0.8835,1.0000,0.0000,0.0000,0.8772,0.6040,0.0444
central,12,5,mean_V3,tile_cluster_bootstrap,0.0445,0.0146,0.9940,0.0595,0.6265,0.9995,0.0000,0.0000,0.6095,0.3345,0.0585
central,12,5,mean_V3,target_only_bootstrap,0.0195,0.0146,0.8035,0.5005,0.9805,1.0000,0.2105,0.0880,0.9725,0.8165,0.0330
central,12,5,V1_minus_V3,crossed_RE_model,0.0418,0.0190,,0.1613,0.6698,0.9975,0.0000,0.0000,0.5799,0.3739,0.0584
central,12,5,V1_minus_V3,tile_cluster_bootstrap,0.0487,0.0193,0.9775,0.0735,0.5210,0.9905,0.0000,0.0000,0.3875,0.2425,0.0670
central,12,5,V1_minus_V3,target_only_bootstrap,0.0300,0.0193,0.8540,0.3105,0.8330,1.0000,0.0200,0.0130,0.7720,0.5770,0.0475
central,12,5,V2_minus_V3,crossed_RE_model,0.0726,0.0330,,0.0860,0.2830,0.7878,0.0000,0.0000,0.0000,0.0000,0.1016
central,12,5,V2_minus_V3,tile_cluster_bootstrap,0.0667,0.0337,0.9355,0.1080,0.3265,0.8280,0.0000,0.0000,0.0420,0.0400,0.0975
central,12,5,V2_minus_V3,target_only_bootstrap,0.0577,0.0337,0.8860,0.1660,0.4175,0.8850,0.0000,0.0000,0.1195,0.0995,0.0875
central,12,5,group_contribution_V3,crossed_RE_model,0.0123,0.0056,,0.9042,1.0000,1.0000,0.9002,0.0499,1.0000,0.9979,0.0171
central,12,5,group_contribution_V3,tile_cluster_bootstrap,0.0179,0.0055,0.9965,0.6365,1.0000,1.0000,0.6285,0.0085,1.0000,0.9925,0.0235
central,12,5,group_contribution_V3,target_only_bootstrap,0.0098,0.0055,0.9090,0.9550,1.0000,1.0000,0.9600,0.0730,1.0000,1.0000,0.0150
central,12,5,V1_minus_V2,tile_RE_model,0.0613,0.0278,,0.1008,0.3746,0.9040,0.0000,0.0000,0.0002,0.0001,0.0857
central,12,5,V1_minus_V2,tile_cluster_bootstrap,0.0505,0.0277,0.9100,0.1615,0.4920,0.9515,0.0005,0.0000,0.2260,0.1850,0.0760
central,12,5,group_contribution_V1,tile_RE_model,0.0246,0.0112,,0.3734,0.9823,1.0000,0.0000,0.0000,0.9788,0.8040,0.0343
central,12,5,group_contribution_V1,tile_cluster_bootstrap,0.0204,0.0108,0.9115,0.4965,0.9945,1.0000,0.2400,0.0445,0.9970,0.8720,0.0305
central,15,3,mean_V3,crossed_RE_model,0.0250,0.0117,,0.3587,0.9782,1.0000,0.0000,0.0000,0.9757,0.7840,0.0351
central,15,3,mean_V3,tile_cluster_bootstrap,0.0360,0.0117,0.9960,0.0985,0.8570,1.0000,0.0000,0.0000,0.8885,0.5180,0.0475
central,15,3,mean_V3,target_only_bootstrap,0.0164,0.0117,0.8340,0.6190,0.9955,1.0000,0.4010,0.1210,0.9975,0.9195,0.0270
central,15,3,V1_minus_V3,crossed_RE_model,0.0354,0.0165,,0.2046,0.8050,0.9999,0.0000,0.0000,0.7757,0.5098,0.0497
