check,feature,region,auc,ci_lo,ci_hi,interval_excludes_0.5,side,collar_auc,auc_within_elev_decile,auc_within_ndvi_decile,r_elev,r_ndvi
collar_ci,lst_anomaly_mean,mugla_2021,0.5068925274629883,0.4207953038182639,0.597658116016981,False,above,,,,,
collar_ci,lst_anomaly_mean,evia_2021_extended,0.5837584538337627,0.4965598758475823,0.6685166545000762,False,above,,,,,
collar_ci,lst_anomaly_mean,montiferru_2021,0.4001135424581277,0.2907613444270137,0.5396910749987389,False,below,,,,,
collar_ci,tvdi_difference_mean,manavgat_2021,0.43724985607686184,0.36957537181239486,0.5037928152940654,False,below,,,,,
collar_ci,tvdi_difference_mean,bejis_2022,0.4509231055990981,0.38287547772909214,0.521177826980339,False,below,,,,,
collar_ci,tvdi_difference_mean,mugla_2021,0.509446583365179,0.4173353420449669,0.5965709145838799,False,above,,,,,
collar_ci,tvdi_difference_mean,evia_2021_extended,0.48859841143362615,0.4168165973230743,0.5662423160241732,False,below,,,,,
collar_ci,tvdi_difference_mean,montiferru_2021,0.38424897940164837,0.2879807052476761,0.5037284979410863,False,below,,,,,
collar_ci,ndvi_mean,manavgat_2021,0.6210308374260758,0.5632779692307334,0.6740006556283792,True,above,,,,,
collar_ci,ndvi_mean,bejis_2022,0.6177739290258731,0.5507903758976814,0.6792261450012594,True,above,,,,,
collar_ci,ndvi_mean,mugla_2021,0.6521441147756903,0.6064422780002202,0.6951818388526775,True,above,,,,,
collar_ci,ndvi_mean,evia_2021_extended,0.663382936090296,0.5618851950810133,0.7515147488415749,True,above,,,,,
collar_ci,ndvi_mean,montiferru_2021,0.5817467660844683,0.44575652441491026,0.6991649726146167,False,above,,,,,
stratified,current_lst_mean,manavgat_2021,,,,,,0.3863772445811905,0.4015821810660325,0.43986089723576033,-0.6823819070353578,-0.5537128533407065
stratified,current_lst_mean,bejis_2022,,,,,,0.40460495808405017,0.5092906377482512,0.4860092458596515,-0.47389173415964975,-0.7831653805619245
stratified,current_lst_mean,mugla_2021,,,,,,0.331812261454304,0.3633206931648363,0.40391777984429117,-0.4612537968270235,-0.6974206416443867
stratified,current_lst_mean,evia_2021_extended,,,,,,0.2856660359279603,0.32653261972067193,0.27935180382027125,-0.5418655268531106,-0.8284223427885229
stratified,current_lst_mean,montiferru_2021,,,,,,0.3763437997164291,0.3916126825735324,0.36755257592082685,-0.517548908331221,-0.9184640997857424
stratified,current_tvdi_mean,manavgat_2021,,,,,,0.39191217383160576,0.39370187885126706,0.4422977532945624,-0.7227073499491738,-0.40316979457042823
stratified,current_tvdi_mean,bejis_2022,,,,,,0.4535246676728919,0.5768507743263808,0.48525283040109957,-0.604066929033204,-0.39190618498702606
stratified,current_tvdi_mean,mugla_2021,,,,,,0.3419889972823709,0.37681416624077524,0.40186285069262045,-0.5320796869131219,-0.5289506826016269
stratified,current_tvdi_mean,evia_2021_extended,,,,,,0.25032052244717196,0.27618841825356255,0.2637559332116446,-0.5849492725551009,-0.7242672000064923
stratified,current_tvdi_mean,montiferru_2021,,,,,,0.36108879039244424,0.3590813986239086,0.36474919190709926,-0.5013824392571625,-0.8311391642771709
stratified,lst_anomaly_mean,manavgat_2021,,,,,,0.46154938814277513,0.4561418729832904,0.462910471805008,0.025879823692296564,0.034740387650830706
stratified,lst_anomaly_mean,bejis_2022,,,,,,0.39230323136558826,0.4912223692866144,0.4060315766497708,-0.1069164427118361,-0.20867744061403143
stratified,lst_anomaly_mean,mugla_2021,,,,,,0.5068925274629883,0.4677399263852378,0.5227875361295377,0.30241928227787773,-0.06101729550172099
stratified,lst_anomaly_mean,evia_2021_extended,,,,,,0.5837584538337627,0.6361317853219035,0.5809000491850672,-0.15712974236341062,-0.05183943257650534
stratified,lst_anomaly_mean,montiferru_2021,,,,,,0.4001135424581277,0.4015209431456967,0.4511652500099765,0.2603014404588857,-0.2564338640620392
