source_frame,target_frame,direction,thermal,baseline,delta
full,10km,mugla_2021_to_manavgat_2021,0.5270334480127589,0.6038954622205206,-0.07686201420776173
full,10km,mugla_2021_to_bejis_2022,0.6000490800024237,0.48981721233665243,0.11023186766577131
full,10km,mugla_2021_to_evia_2021_extended,0.7197799434948968,0.676910993937863,0.0428689495570338
full,10km,mugla_2021_to_montiferru_2021,0.5283404447935458,0.608451115407255,-0.08011067061370925
full,10km,evia_2021_extended_to_manavgat_2021,0.643466922468812,0.6059459365471117,0.03752098592170028
full,10km,evia_2021_extended_to_bejis_2022,0.5159685726404233,0.46472420270242976,0.05124436993799353
full,10km,evia_2021_extended_to_mugla_2021,0.5730972998725343,0.5079609850418078,0.06513631483072657
full,10km,evia_2021_extended_to_montiferru_2021,0.6407084897236467,0.547201425652037,0.09350706407160969
full,10km,montiferru_2021_to_manavgat_2021,0.656466831569988,0.5893723952666503,0.06709443630333767
full,10km,montiferru_2021_to_bejis_2022,0.6125059077780695,0.6608981842418856,-0.048392276463816164
full,10km,montiferru_2021_to_mugla_2021,0.6035083440204856,0.631693648443767,-0.028185304423281377
full,10km,montiferru_2021_to_evia_2021_extended,0.7122160127417136,0.6607822045176017,0.05143380822411192
10km,full,manavgat_2021_to_bejis_2022,0.29432434350603265,0.3218593780243887,-0.02753503451835604
10km,full,manavgat_2021_to_mugla_2021,0.5551499043261219,0.5761386940132242,-0.02098878968710227
10km,full,manavgat_2021_to_evia_2021_extended,0.6452516825689121,0.6040289139757786,0.04122276859313345
10km,full,manavgat_2021_to_montiferru_2021,0.6098630973586443,0.6024946909164935,0.0073684064421507545
10km,full,bejis_2022_to_manavgat_2021,0.5549077173830956,0.4470688158671995,0.10783890151589615
10km,full,bejis_2022_to_mugla_2021,0.6334709425644436,0.6229482849740442,0.010522657590399387
10km,full,bejis_2022_to_evia_2021_extended,0.5020726560144709,0.5619167931875197,-0.05984413717304882
10km,full,bejis_2022_to_montiferru_2021,0.6732699790412652,0.6065226544029537,0.06674732463831146
10km,full,mugla_2021_to_manavgat_2021,0.3899870347591563,0.5583826372846498,-0.16839560252549346
10km,full,mugla_2021_to_bejis_2022,0.5918272791793018,0.543565359055423,0.048261920123878754
10km,full,mugla_2021_to_evia_2021_extended,0.6348587244163066,0.579302150356567,0.05555657405973968
10km,full,mugla_2021_to_montiferru_2021,0.5524574463655333,0.5939224295476522,-0.041464983182118886
