subset,measure,label,family,expected_sign,published_n,n_directions,n_pairs,n_undefined_directions,seed_offset,spearman_rho,spearman_ci_low,spearman_ci_high,kendall_tau_b,kendall_ci_low,kendall_ci_high,n_valid_replicates,n_degenerate_replicates,ci_excludes_zero
reproduction,vector_spearman_9,20,20,0.4347,0.4347,-0.2073,-0.2073,0.8000,0.8000,4.69e-5
reproduction,agree_count_9,20,20,0.4673,0.4673,-0.2908,-0.2908,0.7957,0.7957,4.69e-5
reproduction,schoener_d_mean1d,20,20,0.0966,0.0966,-0.5345,-0.5345,0.6302,0.6302,4.66e-5
reproduction,warren_i_mean1d,20,20,0.1902,0.1902,-0.4264,-0.4264,0.7661,0.7661,4.40e-5
reproduction,schoener_d_pca2d,20,20,0.0332,0.0332,-0.5870,-0.5870,0.6302,0.6302,1.76e-5
reproduction,warren_i_pca2d,20,20,-0.0272,-0.0272,-0.6566,-0.6566,0.5601,0.5601,4.43e-5
reproduction,mahalanobis_burned,20,20,-0.2204,-0.2204,-0.8187,-0.8187,0.4236,0.4236,4.14e-5
reproduction,domain_classifier_auc,20,20,-0.3260,-0.3260,-0.8095,-0.8095,0.3587,0.3587,4.80e-5
reproduction,target_mean_dissimilarity,12,12,-0.1259,-0.1259,-0.6739,-0.6739,0.3696,0.3696,3.48e-5
reproduction,target_p95_dissimilarity,12,12,-0.1469,-0.1469,-0.6763,-0.6763,0.2446,0.2446,4.69e-5
reproduction,fraction_inside_weighted_aoa,12,12,0.2098,0.2098,-0.4783,-0.4783,0.6232,0.6232,3.91e-5
reproduction,unweighted_fraction_inside_support,12,12,0.0839,0.0839,-0.9209,-0.9209,0.7609,0.7609,3.67e-5
reproduction,climate_distance,12,12,0.0283,0.0283,-0.8367,-0.8367,0.8356,0.8356,4.00e-5
reproduction,geographic_distance_km,12,12,-0.1696,-0.1696,-0.8671,-0.8671,0.8393,0.8393,4.63e-5
reproduction,regime_dist_log_effn,20,20,0.1087,0.1087,-0.6699,-0.6699,0.7971,0.7971,4.89e-5
reproduction,regime_dist_largest_share,20,20,0.1087,0.1087,-0.6649,-0.6649,0.7662,0.7662,4.98e-5
reproduction,vector_spearman_supported,6,6,0.9562,0.9562,0.8528,0.8528,0.9562,0.9562,3.55e-5
