frame,source_frame,target_rule,source,target,target_n,target_pos,target_retained,target_pos_retained,thermal,baseline,delta
a1_trim_srcfull,full,trim,bejis_2022,evia_2021_extended,2020,689,0.21725102172510216,0.2586336336336336,0.2748612684680048,0.5106906971089101,-0.23582942864090534
a1_trim_srcfull,full,trim,bejis_2022,montiferru_2021,767,124,0.3014937106918239,0.2300556586270872,0.5539181257211658,0.5481926955300256,0.005725430191140246
a1_trim_srcfull,full,trim,mugla_2021,manavgat_2021,10785,2352,0.5258154161181805,0.8013628620102214,0.42261756030527947,0.4790150362884392,-0.05639747598315975
a1_trim_srcfull,full,trim,mugla_2021,bejis_2022,6596,514,0.43423304805793284,0.4672727272727273,0.5602898519199986,0.4207631884350964,0.13952666348490217
a1_trim_srcfull,full,trim,mugla_2021,evia_2021_extended,6940,2048,0.7463970746397075,0.7687687687687688,0.6671818306674162,0.6066755293240239,0.0605063013433923
a1_trim_srcfull,full,trim,mugla_2021,montiferru_2021,1296,203,0.5094339622641509,0.37662337662337664,0.6242862100514244,0.6655384240960163,-0.041252214044591895
a1_trim_srcfull,full,trim,evia_2021_extended,manavgat_2021,9034,2603,0.4404465896348301,0.8868824531516184,0.5904699331112809,0.6367020685257665,-0.046232135414485565
a1_trim_srcfull,full,trim,evia_2021_extended,bejis_2022,6712,462,0.44186965108624093,0.42,0.36817281385281386,0.32297229437229436,0.04520051948051951
a1_trim_srcfull,full,trim,evia_2021_extended,mugla_2021,32139,1974,0.7701653486700216,0.6781174854002061,0.5997987260543203,0.5934762050868149,0.006322520967505407
a1_trim_srcfull,full,trim,evia_2021_extended,montiferru_2021,2163,465,0.8502358490566038,0.862708719851577,0.7006218574667225,0.5556568765277302,0.14496498093899224
a1_trim_srcfull,full,trim,montiferru_2021,manavgat_2021,5387,1740,0.2626395592608844,0.5928449744463373,0.5504151577899012,0.48847903646202673,0.061936121327874516
a1_trim_srcfull,full,trim,montiferru_2021,bejis_2022,2619,187,0.17241606319947334,0.17,0.39248082606248236,0.5090614445538982,-0.11658061849141588
a1_trim_srcfull,full,trim,montiferru_2021,mugla_2021,18902,1119,0.45295950155763237,0.3844039848849193,0.5539611512576627,0.52631226909535,0.02764888216231265
a1_trim_srcfull,full,trim,montiferru_2021,evia_2021_extended,3950,1059,0.42482254248225426,0.3975225225225225,0.6745515126394342,0.6376194689716286,0.03693204366780567
