frame,source,target,model,n,positives,prevalence,auc,ap,ap_lift,pauc01,cap10,cap10_norm,cap20,cap20_norm
ref_full_full,montiferru_2021,bejis_2022,thermal,15190,1100,0.07241606319947334,0.5483011162010453,0.09285102514616964,1.2821882472457424,0.5167688237950836,0.13454545454545455,0.03838383838383838,0.23636363636363636,0.045454545454545435
ref_full_full,montiferru_2021,bejis_2022,baseline,15190,1100,0.07241606319947334,0.6126267823730563,0.11367518379586421,1.5697509471447064,0.5319647107962823,0.16727272727272727,0.07474747474747473,0.24363636363636362,0.054545454545454515
ref_full_full,montiferru_2021,mugla_2021,thermal,41730,2911,0.06975796788880902,0.6193519007685069,0.08868876323962027,1.271378251456322,0.502269312792905,0.11679835108210238,0.0186648345356693,0.24768120920645825,0.0596015115080728
ref_full_full,montiferru_2021,mugla_2021,baseline,41730,2911,0.06975796788880902,0.6512032443571474,0.12418946741262851,1.7802907849979346,0.5487248314146626,0.23497080041222948,0.1499675560135883,0.3503950532463071,0.18799381655788386
ref_full_full,montiferru_2021,evia_2021_extended,thermal,9298,2664,0.28651322865132284,0.5861929535806533,0.31707825794461764,1.1066792951835793,0.49996185672050036,0.10285285285285285,0.011456135061802807,0.19256756756756757,-0.014923123304190544
ref_full_full,montiferru_2021,evia_2021_extended,baseline,9298,2664,0.28651322865132284,0.5564241415820402,0.2960606981779604,1.0333229623343378,0.48553959922825257,0.0731981981981982,-0.10762737413325292,0.2045795795795796,0.009195055773289112
ref_10km_10km,manavgat_2021,bejis_2022,thermal,5601,1100,0.19639350116050705,0.4067471874936882,0.15493777853402566,0.7889149977900707,0.4775908383995476,0.03,-0.17107309486780717,0.11090909090909092,-0.11136363636363636
ref_10km_10km,manavgat_2021,bejis_2022,baseline,5601,1100,0.19639350116050705,0.4072797964088788,0.15528802205321612,0.7906983741091487,0.47822270223841806,0.034545454545454546,-0.1599644523439236,0.1190909090909091,-0.10113636363636364
ref_10km_10km,manavgat_2021,mugla_2021,thermal,18674,2911,0.15588518796187212,0.49293586621114155,0.1457304139494891,0.9348573514574922,0.48961344918073313,0.0724836825833047,-0.05081520015225529,0.16420474063895568,-0.04474407420130541
ref_10km_10km,manavgat_2021,mugla_2021,baseline,18674,2911,0.15588518796187212,0.4970422519956101,0.15290671161520764,0.9808931407428332,0.49708104829335364,0.09069048436963242,-0.01719215885301023,0.19958777052559257,-0.0005152868430093049
ref_10km_10km,manavgat_2021,evia_2021_extended,thermal,5232,2664,0.5091743119266054,0.7041564052370128,0.6823361960132959,1.340083700278365,0.5548425946851918,0.15465465465465467,0.5669781931464174,0.2841591591591592,0.4365264797507788
ref_10km_10km,manavgat_2021,evia_2021_extended,baseline,5232,2664,0.5091743119266054,0.6923791490088218,0.663001422679835,1.3021109022000363,0.5380011713631979,0.14114114114114115,0.42679127725856697,0.27702702702702703,0.39953271028037374
ref_10km_10km,manavgat_2021,montiferru_2021,thermal,2490,539,0.21646586345381527,0.6268513649343992,0.3036429057957588,1.4027288226928374,0.5261416670140941,0.15584415584415584,0.15427985648385442,0.2987012987012987,0.1363403382880574
