region,scar,orientation,row,col,pool_n,collar_only_n,median_dist_km,placebo_auc,placebo_collar_only_auc
mugla_2021,1,3,39,288,1271,545,13.08099766837377,0.7263448322917532,0.7265135128415504
mugla_2021,1,5,54,246,1007,398,16.650000000000002,0.791115309365606,0.810029143004998
mugla_2021,1,5,51,327,1293,555,10.734174397688907,0.7095135993896675,0.7289435777240655
mugla_2021,1,6,94,265,1153,458,20.54288197892399,0.7890186317301162,0.7658134223263631
mugla_2021,1,3,27,201,1241,521,20.37461656080919,0.8262110501846356,0.8418301265546244
mugla_2021,1,3,31,200,1260,526,20.349754298271026,0.8076515249279477,0.8273491194987995
mugla_2021,1,0,4,131,1026,428,17.279618381283665,0.8518743033434233,0.8556942228300788
mugla_2021,10,0,104,265,1063,503,16.09968943799849,0.7908906349143254,0.776240833558897
mugla_2021,10,0,19,160,1170,535,19.370918925027794,0.8160694461163944,0.8247817120793296
mugla_2021,10,0,93,283,1110,487,21.510753124890815,0.8019963625597428,0.7898410311285922
mugla_2021,10,6,73,293,1111,522,19.03345738430094,0.7838150012184318,0.782670480096415
mugla_2021,10,2,0,54,873,353,13.379461872586656,0.736728888028438,0.7922878789893911
mugla_2021,10,1,64,294,1123,522,18.53759693164138,0.8006764242325428,0.812143615203353
mugla_2021,10,4,40,181,1174,537,17.73365444571423,0.7444100529735292,0.7160280116452907
mugla_2021,10,6,96,258,1148,516,16.112262410971343,0.8037929473862144,0.77766252987347
mugla_2021,10,7,46,341,1184,545,10.15246275541063,0.6976139872266632,0.7486238532110092
mugla_2021,10,4,49,171,1174,536,12.09989380032815,0.7396485671553454,0.7179828556746781
mugla_2021,10,6,61,319,1183,544,12.680102523244834,0.7801179198795667,0.7618521587038571
mugla_2021,10,1,23,205,984,422,19.764171466465026,0.8416892502258356,0.8217927893850729
mugla_2021,10,3,52,284,1138,515,15.817353059393671,0.7679150474021634,0.7348982785602504
mugla_2021,10,1,34,328,1184,545,9.66190974911275,0.776224728249376,0.7513517393863691
mugla_2021,10,1,35,302,1177,540,11.525623627379128,0.7202005576363875,0.7589578624007419
mugla_2021,10,5,90,273,1083,474,21.828479104142826,0.8033660049968426,0.7958472824759151
mugla_2021,10,4,10,135,1020,466,17.105920027873392,0.8433259688852066,0.8325542189714347
mugla_2021,10,0,65,272,1042,487,19.329058435423075,0.787937906818175,0.7995391927196307
mugla_2021,10,7,34,239,1048,479,10.359777989899204,0.8929177268871925,0.8974879198643495
mugla_2021,10,6,22,135,895,378,14.85681661729726,0.8535543490614701,0.8567868114033999
mugla_2021,10,7,57,241,935,411,17.19447585708852,0.793233076414518,0.848839998629245
mugla_2021,10,4,49,285,1165,534,14.985743224812042,0.7355336597553849,0.7368371695005657
mugla_2021,10,0,42,148,1092,522,8.863972021616494,0.7647394337535182,0.7408336781009599
mugla_2021,10,3,38,209,1143,526,19.521910767135477,0.8131115848390625,0.8132925138494677
mugla_2021,10,1,35,154,1111,521,10.667942632016727,0.7787849207455957,0.7943373613401459
mugla_2021,10,5,40,201,1154,527,20.049002468950917,0.7866385681700447,0.8049163630316583
mugla_2021,10,7,50,303,1171,537,15.801344879471495,0.7560850442822032,0.7296316695954748
mugla_2021,10,3,19,159,1169,537,18.926766760331784,0.8063069032960237,0.8118306362070623
mugla_2021,10,7,116,338,995,428,14.00071426749364,0.8697478000330291,0.8701241718222106
mugla_2021,10,0,95,288,1112,484,21.17631220405101,0.7896260456423594,0.7839405579482404
mugla_2021,10,1,73,279,1066,515,21.64682424745025,0.781079430512615,0.7852530501238282
mugla_2021,10,3,89,287,1084,489,21.89794510907359,0.8062413018496384,0.8069324833344534
mugla_2021,10,1,11,360,1023,477,16.206248794832195,0.8756839942664568,0.8695321240276507
mugla_2021,10,3,55,201,1155,518,19.433540593520267,0.7299636201044652,0.7371496244735681
mugla_2021,10,5,28,222,988,465,13.131207721630568,0.8913962859478055,0.899510323590287
mugla_2021,10,2,76,305,1173,540,14.123119343827694,0.8241364450794947,0.8295658726018663
mugla_2021,10,7,30,186,1170,539,18.921416437465776,0.7860960635608523,0.7824348689539836
mugla_2021,10,5,75,85,859,331,7.00035713374682,0.6973461516739812,0.6384740129261639
mugla_2021,10,2,45,171,1180,541,13.14277367985921,0.7556205405692157,0.7441705067124869
mugla_2021,10,7,7,167,1159,531,22.989671594000644,0.8221647013709137,0.8410445935710518
mugla_2021,10,1,29,297,1177,538,9.630420551564713,0.6826179392982077,0.7191999581129902
mugla_2021,10,6,1,126,974,448,12.007497657713701,0.8714206296414122,0.8624524927341828
mugla_2021,10,7,49,185,1177,538,13.891814136389819,0.7117961236692315,0.718350582636671
mugla_2021,10,5,141,97,738,209,27.45,0.7230555873633853,0.7106124252158351
mugla_2021,10,6,54,299,1169,541,15.594951106047112,0.7448817991113681,0.7173668422529426
mugla_2021,10,1,102,290,1046,432,21.13084238737301,0.756220133633755,0.7541623195965919
mugla_2021,10,0,43,320,1184,545,11.393090011054948,0.7548547667385694,0.7554033682215617
mugla_2021,10,0,61,251,953,440,17.123667831396403,0.782879860485051,0.823356807511737
mugla_2021,10,7,45,178,1174,540,12.282609657560563,0.7362414121297918,0.7224279835390947
mugla_2021,10,0,36,294,1176,541,10.534229919647663,0.688923221870908,0.7249659385766231
mugla_2021,8,1,17,351,955,434,12.535549449465707,0.9530104712041885,0.9538729018803189
mugla_2021,8,4,28,147,940,404,15.51684568461,0.9166155458922193,0.9008907277589072
mugla_2021,8,4,109,296,873,362,21.335885264033454,0.8787802777568748,0.8808222768883334
mugla_2021,8,1,27,361,934,408,13.95725617734374,0.9408047953234656,0.9436050880206096
mugla_2021,8,7,107,255,814,328,10.893346593219185,0.9001753080220234,0.9007532935730816
mugla_2021,8,4,38,246,833,383,7.380548760085527,0.9452390445229186,0.9464871071639572
mugla_2021,8,7,58,339,1003,455,9.879524280045068,0.8242717104161967,0.8364402021336328
mugla_2021,8,6,45,178,1001,454,16.262379899633387,0.8736281966208973,0.8631065307566159
mugla_2021,8,6,55,192,1001,454,19.187105044795057,0.8736391345880399,0.8935134570243417
mugla_2021,8,5,59,193,869,362,15.775693328662294,0.8240300538415664,0.8378584102915676
mugla_2021,8,5,94,269,953,427,18.3233457643521,0.9092598478871945,0.8930409066821655
mugla_2021,8,0,47,314,1003,455,12.478882161475843,0.8976955993333868,0.8874268067698725
mugla_2021,8,2,66,278,940,405,18.84635243223473,0.8940382823419785,0.9202442101468865
mugla_2021,8,4,113,263,825,385,13.234897052867469,0.8931132492811326,0.8714901886434733
mugla_2021,8,0,21,165,979,441,20.778113485107355,0.9209279914705161,0.9269121273813663
mugla_2021,8,7,64,268,868,401,18.061765536669654,0.8871419741666388,0.8798783151610026
mugla_2021,8,7,86,247,844,368,13.05387815784611,0.8941119365551597,0.8924870080926691
mugla_2021,8,1,67,309,994,452,15.435037370728473,0.9128062168632232,0.9318236871003165
mugla_2021,8,1,86,295,941,428,20.846222679420848,0.9137536166680886,0.9172479364213111
mugla_2021,8,6,74,197,741,289,18.36198518679285,0.8370322212043303,0.8471257545525723
mugla_2021,8,1,57,173,909,387,8.370483856982224,0.8661017561610176,0.860568852675456
mugla_2021,8,2,151,80,697,257,29.79869963605795,0.8292421116568403,0.7989931551591923
mugla_2021,8,6,48,253,838,394,10.167400202248459,0.9496792415030574,0.9581635110600615
mugla_2021,8,0,68,77,887,378,7.6632238646668815,0.8406247171224254,0.8539421851465646
mugla_2021,8,5,12,300,1003,455,7.115124735378854,0.8218392268450124,0.791204780620839
mugla_2021,8,4,59,276,941,409,16.50954269505973,0.9101020423993733,0.9291511252297753
mugla_2021,8,4,33,170,997,449,16.601280071127043,0.9016264120829642,0.9011103344008583
mugla_2021,8,0,39,137,908,427,10.804685467258942,0.9020255876394737,0.8805406930032992
mugla_2021,8,1,74,268,868,401,20.189900881755264,0.8930495055333176,0.9020127600706265
mugla_2021,8,6,69,253,850,386,18.471938176596414,0.8743720480893087,0.8934230929238683
