config,role,population,rf_profile,direction,source,target,feature_set,variant,roc_auc,pr_auc,roc_auc_ci_lo,roc_auc_ci_hi,pr_auc_ci_lo,pr_auc_ci_hi,target_positive_count,target_negative_count,n_source,n_target
sens_burnable_rf2,sensitivity,burnable_tree_shrub_grass,sensitivity,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,thermal,zscore,0.5263533131169753,0.07435913273684938,0.49715647490120224,0.5513709220619404,0.06504195871434335,0.085565917570336,1100,14090,20511,15190
sens_burnable_rf2,sensitivity,burnable_tree_shrub_grass,sensitivity,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,thermal,coral_after_regionwise_zscore,0.5735118394735144,0.0842068198734732,0.5470747126461464,0.5986709138963432,0.07353370935028486,0.09584825754421934,1100,14090,20511,15190
sens_burnable_rf2,sensitivity,burnable_tree_shrub_grass,sensitivity,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,baseline,raw,0.3680377766307503,0.051880062789436826,0.3479002388599225,0.3885067055643055,0.0460613034929075,0.05843288035100886,1100,14090,20511,15190
sens_burnable_rf2,sensitivity,burnable_tree_shrub_grass,sensitivity,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,baseline,zscore,0.44911652364668686,0.061355648009873406,0.423983583641222,0.47230528067004196,0.053959216303393835,0.07011166221156824,1100,14090,20511,15190
sens_burnable_rf2,sensitivity,burnable_tree_shrub_grass,sensitivity,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,baseline,coral_after_regionwise_zscore,0.4573691528485709,0.06188947553648477,0.4329799391492549,0.4802630712663216,0.05455991996337861,0.07031185586730758,1100,14090,20511,15190
sens_burnable_rf2,sensitivity,burnable_tree_shrub_grass,sensitivity,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,thermal,raw,0.3800926977218626,0.03032408737187979,0.34693328173066357,0.4154285996622679,0.025999858822286177,0.03639380568631062,784,19727,15190,20511
sens_burnable_rf2,sensitivity,burnable_tree_shrub_grass,sensitivity,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,thermal,zscore,0.4323944999756886,0.03421122549010863,0.39579429402430816,0.4661490996938437,0.02872125027462965,0.041404555791295435,784,19727,15190,20511
sens_burnable_rf2,sensitivity,burnable_tree_shrub_grass,sensitivity,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,thermal,coral_after_regionwise_zscore,0.4904678129425846,0.03542952648984487,0.46226518390830046,0.5191751359186988,0.030816029361917165,0.04102193542220887,784,19727,15190,20511
sens_burnable_rf2,sensitivity,burnable_tree_shrub_grass,sensitivity,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,baseline,raw,0.41704541222379354,0.03409540728283848,0.382608311272468,0.4499450600978924,0.028841845545715967,0.0425937555265067,784,19727,15190,20511
sens_burnable_rf2,sensitivity,burnable_tree_shrub_grass,sensitivity,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,baseline,zscore,0.43538277073895404,0.0335926262280834,0.39972098272256434,0.46932259349816496,0.028506339861858073,0.040564741903072035,784,19727,15190,20511
sens_burnable_rf2,sensitivity,burnable_tree_shrub_grass,sensitivity,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,baseline,coral_after_regionwise_zscore,0.4550835098068224,0.03570992070908672,0.42328556596278855,0.4878879899866329,0.02952019622300779,0.04339550094365363,784,19727,15190,20511
