frame,region,feature,auc,lo_1000,hi_1000,lo,hi,sd,p_norm_vs_half,p_pct_vs_half,n_reps
collar10,bejis_2022,lst_anomaly_mean,0.39230323136558826,0.32444609189406765,0.4604142317544436,0.32744941004705796,0.45947647985702766,0.03389539712981909,0.0014863921622996713,0.0019,20000
collar10,bejis_2022,current_lst_mean,0.40460495808405017,0.3337770464986829,0.48243665793789176,0.3296269930587539,0.48018401775805136,0.03830066217544741,0.012749562847643402,0.014,20000
collar10,bejis_2022,current_tvdi_mean,0.4535246676728919,0.3704003063955335,0.54784028845517,0.36502217088140987,0.5430224149301147,0.04528870267499121,0.3047966383231735,0.3094,20000
collar10,bejis_2022,tvdi_difference_mean,0.4509231055990981,0.3828754777290921,0.521177826980339,0.37978459144237203,0.5234574161865152,0.03678454161539664,0.18214759214531695,0.1874,20000
collar10,bejis_2022,downscaled_lst_mean,0.39467279998384197,0.31551846142197254,0.4834055232729319,0.3120729751985849,0.479315476602892,0.04254495603593323,0.013298705757617064,0.0145,20000
collar10,bejis_2022,fused_lst_mean,0.40232433196663364,0.3285964619432354,0.4829893447801252,0.3256506427433399,0.4803637054153095,0.03926991502621162,0.01287204132341296,0.0146,20000
collar10,mugla_2021,ndvi_mean,0.6521441147756903,0.6064422780002202,0.6951818388526776,0.6056916035638662,0.694792657254957,0.022621950761085724,1.749806674989157e-11,5e-05,20000
collar10,mugla_2021,elevation_mean,0.6055696330476426,0.5254440974309419,0.6847656486404171,0.5249795188884829,0.6839851608166337,0.04035599171835334,0.00889771550580437,0.0103,20000
collar10,mugla_2021,slope_mean,0.6350429094061244,0.5784591493961377,0.6920606832946883,0.5795851834761049,0.6884024987656758,0.027681049238490907,1.0687783855116292e-06,5e-05,20000
collar10,mugla_2021,lst_anomaly_mean,0.5068925274629883,0.42079530381826397,0.597658116016981,0.41939770942608084,0.5958599529075492,0.04477672777663985,0.8776641236832943,0.8807,20000
