direction,model_family,adaptation_method,metric,raw_gap_mean,adaptation_effect_mean,remaining_gap_mean,recovered_fraction_ci_low,recovered_fraction_ci_high,remaining_fraction_ci_low,remaining_fraction_ci_high,n_replicates,n_replicates_ratio_degenerate
evia_2021_extended_to_bejis_2022,thermal,regionwise_zscore,roc_auc,0.4694882796683887,0.10161179552572949,0.3678764841426593,0.1639790418486948,0.27145872588127257,0.7285412741187274,0.8360209581513052,1000,0
evia_2021_extended_to_bejis_2022,thermal,coral_after_regionwise_zscore,roc_auc,0.4694882796683887,0.10099194479088969,0.36849633487749905,0.1662720193405983,0.2665303678060334,0.7334696321939665,0.8337279806594017,1000,0
evia_2021_extended_to_bejis_2022,thermal,regionwise_zscore,pr_auc,0.4395882593788479,0.01766630750905865,0.42192195186978915,0.028179664225868407,0.05554167984646409,0.9444583201535359,0.9718203357741316,1000,0
evia_2021_extended_to_bejis_2022,thermal,coral_after_regionwise_zscore,pr_auc,0.4395882593788479,0.015626272709720244,0.42396198666912766,0.024839349609994846,0.049485341950434164,0.9505146580495659,0.9751606503900051,1000,0
evia_2021_extended_to_manavgat_2021,baseline,regionwise_zscore,roc_auc,0.11384826880639806,-0.16516642577609839,0.2790146945824964,-1.7732756978105848,-1.1889177673495872,2.188917767349587,2.773275697810585,1000,0
evia_2021_extended_to_manavgat_2021,baseline,coral_after_regionwise_zscore,roc_auc,0.11384826880639806,-0.19140965828236373,0.3052579270887618,-2.0095727198870534,-1.4040745858192318,2.404074585819232,3.0095727198870534,1000,0
evia_2021_extended_to_manavgat_2021,baseline,regionwise_zscore,pr_auc,0.17823306742501002,-0.14297273317007728,0.32120580059508735,-1.0353518794332037,-0.6286905621228142,1.628690562122814,2.0353518794332035,1000,0
evia_2021_extended_to_manavgat_2021,baseline,coral_after_regionwise_zscore,pr_auc,0.17823306742501002,-0.14851365014414428,0.32674671756915424,-1.0639532094226203,-0.660010099235697,1.660010099235697,2.0639532094226203,1000,0
evia_2021_extended_to_manavgat_2021,thermal,regionwise_zscore,roc_auc,0.23110094440901857,-0.2734165940593558,0.5045175384683744,-1.3347644399150294,-1.0534971267827782,2.053497126782778,2.334764439915029,1000,0
evia_2021_extended_to_manavgat_2021,thermal,coral_after_regionwise_zscore,roc_auc,0.23110094440901857,-0.26042343251992317,0.4915243769289417,-1.269315136213277,-1.0000379695572488,2.0000379695572486,2.2693151362132773,1000,0
evia_2021_extended_to_manavgat_2021,thermal,regionwise_zscore,pr_auc,0.3237093533712457,-0.21084465689758536,0.5345540102688312,-0.778686449884764,-0.5487917960969868,1.5487917960969868,1.7786864498847639,1000,0
evia_2021_extended_to_manavgat_2021,thermal,coral_after_regionwise_zscore,pr_auc,0.3237093533712457,-0.20798589939360004,0.5316952527648457,-0.7690260243806025,-0.5426913387571872,1.542691338757187,1.7690260243806024,1000,0
