source_experiment_id,target_experiment_id,direction,model_family,adaptation_method,metric,within_target_auc,raw_auc,adapted_auc,raw_gap,adaptation_effect,remaining_gap,recovered_fraction,recovered_fraction_ci_low,recovered_fraction_ci_high,remaining_fraction,remaining_fraction_ci_low,remaining_fraction_ci_high,adaptation_effect_ci_low,adaptation_effect_ci_high,adapted_auc_ci_low,adapted_auc_ci_high,chance_level,relative_improvement_supported,adapted_above_chance,recovery_status,fraction_interpretability_status,identity_residual,n_replicates,n_replicates_ratio_degenerate,n_replicates_ratio_valid,source_pair_dir
evia_2021_extended,bejis_2022,evia_2021_extended_to_bejis_2022,thermal,regionwise_zscore,pr_auc,0.4978078062944499,0.0591842483213908,0.0765526215444452,0.4386235579730591,0.0173683732230544,0.4212551847500047,0.03959744730382492,0.028179664225868407,0.05554167984646409,0.960402552696175,0.9444583201535359,0.9718203357741316,0.012601498985072929,0.0236719833806274,0.06740686004261968,0.08726406217839498,0.07241606319947334,True,False,supported_relative_recovery_but_chance_not_excluded,interpretable,0.0,1000,0,1000,bejis_2022__evia_2021_extended
evia_2021_extended,bejis_2022,evia_2021_extended_to_bejis_2022,thermal,coral_after_regionwise_zscore,pr_auc,0.4978078062944499,0.0591842483213908,0.0745688917143,0.4386235579730591,0.015384643392909209,0.42323891458014984,0.035074822392130056,0.024839349609994846,0.049485341950434164,0.9649251776078699,0.9505146580495659,0.9751606503900051,0.011069730114239966,0.02111501474256028,0.06614137264545077,0.08443458702133318,0.07241606319947334,True,False,supported_relative_recovery_but_chance_not_excluded,interpretable,0.0,1000,0,1000,bejis_2022__evia_2021_extended
evia_2021_extended,manavgat_2021,evia_2021_extended_to_manavgat_2021,baseline,regionwise_zscore,roc_auc,0.8411807102607785,0.7273654778585326,0.562074532097742,0.11381523240224589,-0.1652909457607905,0.2791061781630364,-1.4522743772698115,-1.7732756978105848,-1.1889177673495872,2.4522743772698115,2.188917767349587,2.773275697810585,-0.18458711304179204,-0.14498687024511595,0.5488717007917147,0.5756027706138565,0.5,False,True,negative_recovery,interpretable,0.0,1000,0,1000,manavgat_2021__evia_2021_extended
evia_2021_extended,manavgat_2021,evia_2021_extended_to_manavgat_2021,baseline,coral_after_regionwise_zscore,roc_auc,0.8411807102607785,0.7273654778585326,0.5355900081340592,0.11381523240224589,-0.19177546972447335,0.30559070212671924,-1.684971911727073,-2.0095727198870534,-1.4040745858192318,2.684971911727073,2.404074585819232,3.0095727198870534,-0.21093907164335743,-0.1710884254690541,0.5213807886912132,0.551115332470705,0.5,False,True,negative_recovery,interpretable,0.0,1000,0,1000,manavgat_2021__evia_2021_extended
evia_2021_extended,manavgat_2021,evia_2021_extended_to_manavgat_2021,baseline,regionwise_zscore,pr_auc,0.4698773243148263,0.2918488089548472,0.149492338416609,0.1780285153599791,-0.14235647053823822,0.3203849858982173,-0.7996273532382668,-1.0353518794332037,-0.6286905621228142,1.7996273532382667,1.628690562122814,2.0353518794332035,-0.16481634059461253,-0.12219606309450606,0.13862090047114461,0.1604979594154272,0.14309394958802593,False,False,negative_recovery,interpretable,1.1102230246251565e-16,1000,0,1000,manavgat_2021__evia_2021_extended
evia_2021_extended,manavgat_2021,evia_2021_extended_to_manavgat_2021,baseline,coral_after_regionwise_zscore,pr_auc,0.4698773243148263,0.2918488089548472,0.1438541511768004,0.1780285153599791,-0.14799465777804682,0.3260231731380259,-0.8312974889376407,-1.0639532094226203,-0.660010099235697,1.8312974889376408,1.660010099235697,2.0639532094226203,-0.16883424408173334,-0.12848993984068222,0.13315031747296835,0.15463268305218286,0.14309394958802593,False,False,negative_recovery,interpretable,0.0,1000,0,1000,manavgat_2021__evia_2021_extended
evia_2021_extended,manavgat_2021,evia_2021_extended_to_manavgat_2021,thermal,regionwise_zscore,roc_auc,0.90807357717935,0.6768829881850658,0.4035196186684801,0.23119058899428424,-0.2733633695165857,0.5045539585108699,-1.1824156454886843,-1.3347644399150294,-1.0534971267827782,2.182415645488684,2.053497126782778,2.334764439915029,-0.29222282853390313,-0.25540312985058794,0.3855432301066274,0.42117686321018744,0.5,False,False,negative_recovery,interpretable,2.220446049250313e-16,1000,0,1000,manavgat_2021__evia_2021_extended
evia_2021_extended,manavgat_2021,evia_2021_extended_to_manavgat_2021,thermal,coral_after_regionwise_zscore,roc_auc,0.90807357717935,0.6768829881850658,0.4165194290805412,0.23119058899428424,-0.2603635591045246,0.4915541480988088,-1.1261858029651959,-1.269315136213277,-1.0000379695572488,2.126185802965196,2.0000379695572486,2.2693151362132773,-0.27814711472355297,-0.24331295640696612,0.3992731300474425,0.4347980832759316,0.5,False,False,negative_recovery,interpretable,2.220446049250313e-16,1000,0,1000,manavgat_2021__evia_2021_extended
evia_2021_extended,manavgat_2021,evia_2021_extended_to_manavgat_2021,thermal,regionwise_zscore,pr_auc,0.6455894428110062,0.3208883386590513,0.1109094709142872,0.32470110415195486,-0.2099788677447641,0.534679971896719,-0.6466835654691749,-0.778686449884764,-0.5487917960969868,1.6466835654691752,1.5487917960969868,1.7786864498847639,-0.2357706373093968,-0.18741411314679582,0.1023971568854748,0.11907196665504557,0.14309394958802593,False,False,negative_recovery,interpretable,2.220446049250313e-16,1000,0,1000,manavgat_2021__evia_2021_extended
evia_2021_extended,manavgat_2021,evia_2021_extended_to_manavgat_2021,thermal,coral_after_regionwise_zscore,pr_auc,0.6455894428110062,0.3208883386590513,0.1137759041177485,0.32470110415195486,-0.2071124345413028,0.5318135386932576,-0.6378556521457887,-0.7690260243806025,-0.5426913387571872,1.6378556521457885,1.542691338757187,1.7690260243806024,-0.2333656367119692,-0.1852741075733104,0.10483479776142211,0.1219652082667231,0.14309394958802593,False,False,negative_recovery,interpretable,1.1102230246251565e-16,1000,0,1000,manavgat_2021__evia_2021_extended
evia_2021_extended,mugla_2021,evia_2021_extended_to_mugla_2021,baseline,regionwise_zscore,roc_auc,0.7433200295403336,0.5125008330596732,0.4902003067925041,0.2308191964806604,-0.022300526267169107,0.2531197227478295,-0.09661469499586268,-0.19632453835198216,-0.008192431407475474,1.0966146949958626,1.0081924314074755,1.196324538351982,-0.04196874693384728,-0.0020094026592693205,0.47171621760745563,0.5062106062434975,0.5,False,False,negative_recovery,interpretable,1.1102230246251565e-16,1000,0,1000,mugla_2021__evia_2021_extended
evia_2021_extended,mugla_2021,evia_2021_extended_to_mugla_2021,baseline,coral_after_regionwise_zscore,roc_auc,0.7433200295403336,0.5125008330596732,0.4976908926540477,0.2308191964806604,-0.014809940405625499,0.2456291368862859,-0.06416251607940407,-0.15834704245701015,0.01765797544977476,1.0641625160794042,0.9823420245502252,1.1583470424570101,-0.034258496120623885,0.004350566081774235,0.4800665317584893,0.5138536914379345,0.5,False,False,negative_recovery,interpretable,0.0,1000,0,1000,mugla_2021__evia_2021_extended
evia_2021_extended,mugla_2021,evia_2021_extended_to_mugla_2021,baseline,regionwise_zscore,pr_auc,0.2249450861168977,0.0816148991849096,0.0673573201525682,0.1433301869319881,-0.0142575790323414,0.1575877659643295,-0.0994736652308058,-0.1602374671946631,-0.050838504559961646,1.0994736652308057,1.0508385045599615,1.1602374671946631,-0.020965872218999797,-0.007491955107038832,0.061469181151865,0.07338675540524184,0.06975796788880902,False,False,negative_recovery,interpretable,1.1102230246251565e-16,1000,0,1000,mugla_2021__evia_2021_extended
evia_2021_extended,mugla_2021,evia_2021_extended_to_mugla_2021,baseline,coral_after_regionwise_zscore,pr_auc,0.2249450861168977,0.0816148991849096,0.069409639286389,0.1433301869319881,-0.012205259898520601,0.15553544683050868,-0.08515484532446849,-0.14406683130310902,-0.03953053822806728,1.0851548453244684,1.0395305382280673,1.144066831303109,-0.018871811352660455,-0.00583785448489991,0.06353241781331655,0.07542794087399385,0.06975796788880902,False,False,negative_recovery,interpretable,1.1102230246251565e-16,1000,0,1000,mugla_2021__evia_2021_extended
evia_2021_extended,mugla_2021,evia_2021_extended_to_mugla_2021,thermal,regionwise_zscore,roc_auc,0.8589830389802724,0.576836486299561,0.5013427713990719,0.2821465526807114,-0.07549371490048906,0.3576402675812005,-0.2675691557568695,-0.3276326472073112,-0.20692297619059155,1.2675691557568696,1.2069229761905915,1.3276326472073112,-0.08970748566597284,-0.05990413353132378,0.48529203907811,0.5178266905607353,0.5,False,False,negative_recovery,interpretable,0.0,1000,0,1000,mugla_2021__evia_2021_extended
evia_2021_extended,mugla_2021,evia_2021_extended_to_mugla_2021,thermal,coral_after_regionwise_zscore,roc_auc,0.8589830389802724,0.576836486299561,0.5302390241229922,0.2821465526807114,-0.046597462176568794,0.3287440148572802,-0.1651533989476043,-0.22221817307081668,-0.1094988676637642,1.1651533989476044,1.1094988676637643,1.2222181730708166,-0.060975556402040255,-0.032443796447372726,0.514515120199803,0.5463484994608052,0.5,False,True,negative_recovery,interpretable,0.0,1000,0,1000,mugla_2021__evia_2021_extended
evia_2021_extended,mugla_2021,evia_2021_extended_to_mugla_2021,thermal,regionwise_zscore,pr_auc,0.4467473901441791,0.0856193943900276,0.0664215647014893,0.3611279957541515,-0.019197829688538295,0.3803258254426898,-0.053160735014318256,-0.06834605606983427,-0.03842103438642374,1.0531607350143182,1.038421034386424,1.0683460560698341,-0.02418030502211951,-0.013888062610146572,0.061116173022769116,0.07212028308524354,0.06975796788880902,False,False,negative_recovery,interpretable,1.1102230246251565e-16,1000,0,1000,mugla_2021__evia_2021_extended
evia_2021_extended,mugla_2021,evia_2021_extended_to_mugla_2021,thermal,coral_after_regionwise_zscore,pr_auc,0.4467473901441791,0.0856193943900276,0.0717027194431094,0.3611279957541515,-0.0139166749469182,0.37504467070106967,-0.03853668259049178,-0.05437171198260413,-0.02437810545121068,1.0385366825904918,1.0243781054512104,1.054371711982604,-0.01904160240219119,-0.008748756517730393,0.06594484613956664,0.07770733807594371,0.06975796788880902,False,False,negative_recovery,interpretable,0.0,1000,0,1000,mugla_2021__evia_2021_extended
manavgat_2021,bejis_2022,manavgat_2021_to_bejis_2022,baseline,regionwise_zscore,roc_auc,0.8616776566230079,0.3706911736241048,0.3849989031550422,0.4909864829989031,0.014307729530937396,0.4766787534679657,0.02914078091019333,-0.0007280214862828182,0.05742721479403729,0.9708592190898067,0.9425727852059628,1.0007280214862828,-0.0003765269897350126,0.02803445980847412,0.35867800696723945,0.408906810346338,0.5,False,False,recovery_effect_uncertain,interpretable,0.0,1000,0,1000,manavgat_2021__bejis_2022
manavgat_2021,bejis_2022,manavgat_2021_to_bejis_2022,baseline,coral_after_regionwise_zscore,roc_auc,0.8616776566230079,0.3706911736241048,0.3853711852377572,0.4909864829989031,0.0146800116136524,0.4763064713852507,0.029899013765079956,-0.0065666299178789,0.0638857589612097,0.97010098623492,0.9361142410387904,1.0065666299178788,-0.0031268725059798415,0.03121023802481615,0.3583843318579822,0.4094411093977446,0.5,False,False,recovery_effect_uncertain,interpretable,0.0,1000,0,1000,manavgat_2021__bejis_2022
manavgat_2021,bejis_2022,manavgat_2021_to_bejis_2022,baseline,regionwise_zscore,pr_auc,0.3027735748414686,0.0520106759674648,0.0532224008305505,0.2507628988740038,0.0012117248630856975,0.24955117401091811,0.004832153673955294,-0.00015422261898554793,0.010315503005235323,0.9951678463260446,0.9896844969947647,1.0001542226189855,-3.6240717926192154e-05,0.0025224203756064813,0.0468432791210631,0.05988862787759578,0.07241606319947334,False,False,recovery_effect_uncertain,interpretable,1.1102230246251565e-16,1000,0,1000,manavgat_2021__bejis_2022
manavgat_2021,bejis_2022,manavgat_2021_to_bejis_2022,baseline,coral_after_regionwise_zscore,pr_auc,0.3027735748414686,0.0520106759674648,0.0532914993516609,0.2507628988740038,0.001280823384196099,0.24948207548980772,0.005107706881469935,-0.0007788492090550054,0.011222102447245747,0.99489229311853,0.9887778975527542,1.000778849209055,-0.00018419084925977016,0.0027748979010758833,0.04690323487443879,0.06015210263193764,0.07241606319947334,False,False,recovery_effect_uncertain,interpretable,1.1102230246251565e-16,1000,0,1000,manavgat_2021__bejis_2022
manavgat_2021,bejis_2022,manavgat_2021_to_bejis_2022,thermal,regionwise_zscore,roc_auc,0.9178110845861024,0.3964026711400735,0.4504022194980321,0.5214084134460288,0.053999548357958616,0.4674088650880703,0.10356478139865713,0.06527978592547926,0.1391149291581398,0.896435218601343,0.8608850708418601,0.9347202140745208,0.03315925718543829,0.07396519737470862,0.42252294293059467,0.47650311008000257,0.5,True,False,supported_relative_recovery_but_chance_not_excluded,interpretable,2.220446049250313e-16,1000,0,1000,manavgat_2021__bejis_2022
manavgat_2021,bejis_2022,manavgat_2021_to_bejis_2022,thermal,coral_after_regionwise_zscore,roc_auc,0.9178110845861024,0.3964026711400735,0.4668473772501451,0.5214084134460288,0.07044470611007159,0.4509637073359573,0.13510465940604416,0.09250254748865006,0.1722662145316447,0.8648953405939559,0.8277337854683553,0.90749745251135,0.04714662887922972,0.09216368553764236,0.4407173741413762,0.49146908817589513,0.5,True,False,supported_relative_recovery_but_chance_not_excluded,interpretable,0.0,1000,0,1000,manavgat_2021__bejis_2022
manavgat_2021,bejis_2022,manavgat_2021_to_bejis_2022,thermal,regionwise_zscore,pr_auc,0.4978078062944499,0.0541744834189216,0.0596285222042615,0.44363332287552826,0.005454038785339899,0.43817928409018836,0.012294024150368338,0.007273034883976155,0.017596813547263047,0.9877059758496317,0.9824031864527369,0.9927269651160239,0.0033442664264884746,0.007818128456867834,0.052704940513290825,0.06746729225260818,0.07241606319947334,True,False,supported_relative_recovery_but_chance_not_excluded,interpretable,0.0,1000,0,1000,manavgat_2021__bejis_2022
manavgat_2021,bejis_2022,manavgat_2021_to_bejis_2022,thermal,coral_after_regionwise_zscore,pr_auc,0.4978078062944499,0.0541744834189216,0.0615547447327539,0.44363332287552826,0.0073802613138322995,0.43625306156169597,0.016635948954409372,0.01040128848837278,0.02379589946877059,0.9833640510455907,0.9762041005312294,0.9895987115116273,0.00472187648525918,0.010425236026998812,0.05445276181309215,0.06982386217683322,0.07241606319947334,True,False,supported_relative_recovery_but_chance_not_excluded,interpretable,0.0,1000,0,1000,manavgat_2021__bejis_2022
manavgat_2021,evia_2021_extended,manavgat_2021_to_evia_2021_extended,baseline,regionwise_zscore,roc_auc,0.7589523122760988,0.6225921429418566,0.5297370403264283,0.13636016933424222,-0.09285510261542829,0.2292152719496705,-0.6809547323736778,-0.9136899156409906,-0.507933204477082,1.6809547323736778,1.5079332044770821,1.9136899156409906,-0.11374655201961605,-0.07212391129942658,0.5071537827865383,0.5538009835747506,0.5,False,True,negative_recovery,interpretable,0.0,1000,0,1000,manavgat_2021__evia_2021_extended
manavgat_2021,evia_2021_extended,manavgat_2021_to_evia_2021_extended,baseline,coral_after_regionwise_zscore,roc_auc,0.7589523122760988,0.6225921429418566,0.5519671106892241,0.13636016933424222,-0.0706250322526325,0.20698520158687472,-0.5179300714970396,-0.7323221961101971,-0.3502475120949266,1.5179300714970396,1.3502475120949264,1.7323221961101973,-0.09173639902079277,-0.04826528980468506,0.5284597212493386,0.5758530138552554,0.5,False,True,negative_recovery,interpretable,0.0,1000,0,1000,manavgat_2021__evia_2021_extended
manavgat_2021,evia_2021_extended,manavgat_2021_to_evia_2021_extended,baseline,regionwise_zscore,pr_auc,0.5159513545668625,0.3683505698991753,0.306605909116239,0.14760078466768717,-0.061744660782936334,0.2093454454506235,-0.41832203617311464,-0.6111059024152901,-0.26144616813909916,1.4183220361731146,1.2614461681390992,1.61110590241529,-0.08223580357897486,-0.04170373040211107,0.28283088487584285,0.33326515884953706,0.28651322865132284,False,False,negative_recovery,interpretable,0.0,1000,0,1000,manavgat_2021__evia_2021_extended
manavgat_2021,evia_2021_extended,manavgat_2021_to_evia_2021_extended,baseline,coral_after_regionwise_zscore,pr_auc,0.5159513545668625,0.3683505698991753,0.324167149363051,0.14760078466768717,-0.044183420536124285,0.19178420520381145,-0.29934407622290193,-0.4855182924220465,-0.14727617691841371,1.299344076222902,1.1472761769184139,1.4855182924220465,-0.06505978508488726,-0.02294878354330229,0.2982254178956961,0.3517198948953824,0.28651322865132284,False,True,negative_recovery,interpretable,0.0,1000,0,1000,manavgat_2021__evia_2021_extended
manavgat_2021,evia_2021_extended,manavgat_2021_to_evia_2021_extended,thermal,regionwise_zscore,roc_auc,0.9122372202621674,0.6540092625033838,0.5291373959880894,0.2582279577587836,-0.12487186651529436,0.38309982427407796,-0.48357221889947294,-0.5560172483918832,-0.41664276790301485,1.4835722188994729,1.4166427679030147,1.556017248391883,-0.13971062566467152,-0.10923594991337847,0.5044222163870348,0.5531388080036106,0.5,False,True,negative_recovery,interpretable,0.0,1000,0,1000,manavgat_2021__evia_2021_extended
manavgat_2021,evia_2021_extended,manavgat_2021_to_evia_2021_extended,thermal,coral_after_regionwise_zscore,roc_auc,0.9122372202621674,0.6540092625033838,0.5043160812304617,0.2582279577587836,-0.14969318127292208,0.4079211390317057,-0.5796939362110193,-0.667285899427227,-0.5060524751163614,1.5796939362110194,1.5060524751163615,1.667285899427227,-0.16646984847738425,-0.13340967997024933,0.4805021698125317,0.5281874378330395,0.5,False,False,negative_recovery,interpretable,0.0,1000,0,1000,manavgat_2021__evia_2021_extended
manavgat_2021,evia_2021_extended,manavgat_2021_to_evia_2021_extended,thermal,regionwise_zscore,pr_auc,0.8163670997686907,0.4065333593047762,0.3199569292475066,0.4098337404639145,-0.08657643005726956,0.4964101705211841,-0.2112476878044953,-0.2646662194321867,-0.16255977851245773,1.2112476878044953,1.1625597785124577,1.2646662194321867,-0.10403980763786988,-0.06921161715895785,0.2923723194398674,0.3488359459899897,0.28651322865132284,False,True,negative_recovery,interpretable,0.0,1000,0,1000,manavgat_2021__evia_2021_extended
manavgat_2021,evia_2021_extended,manavgat_2021_to_evia_2021_extended,thermal,coral_after_regionwise_zscore,pr_auc,0.8163670997686907,0.4065333593047762,0.3030561286527748,0.4098337404639145,-0.10347723065200137,0.5133109711159158,-0.2524858752109319,-0.3106735764081645,-0.19658482316266207,1.2524858752109318,1.1965848231626621,1.3106735764081645,-0.12077197403904445,-0.08358941777554219,0.27801251350312306,0.3297302565186961,0.28651322865132284,False,False,negative_recovery,interpretable,1.1102230246251565e-16,1000,0,1000,manavgat_2021__evia_2021_extended
manavgat_2021,mugla_2021,manavgat_2021_to_mugla_2021,baseline,regionwise_zscore,roc_auc,0.7433200295403336,0.4656065622633644,0.4612404844585688,0.2777134672769692,-0.004366077804795587,0.2820795450817648,-0.01572151990901187,-0.06045171510585272,0.026690326394642333,1.015721519909012,0.9733096736053577,1.0604517151058528,-0.016134229214429228,0.007364076843450134,0.44384152963115997,0.4784474083980121,0.5,False,False,negative_recovery,interpretable,0.0,1000,0,1000,manavgat_2021__mugla_2021
manavgat_2021,mugla_2021,manavgat_2021_to_mugla_2021,baseline,coral_after_regionwise_zscore,roc_auc,0.7433200295403336,0.4656065622633644,0.4753198942508232,0.2777134672769692,0.009713331987458829,0.2680001352895104,0.034976092742998045,-0.00237277340645265,0.07093094381796211,0.9650239072570019,0.929069056182038,1.0023727734064525,-0.0006185555394165542,0.02017543155450132,0.45745356303987267,0.4940045607331551,0.5,False,False,recovery_effect_uncertain,interpretable,0.0,1000,0,1000,manavgat_2021__mugla_2021
manavgat_2021,mugla_2021,manavgat_2021_to_mugla_2021,baseline,regionwise_zscore,pr_auc,0.2249450861168977,0.0651977604696889,0.0609606679129378,0.15974732564720878,-0.004237092556751108,0.1639844182039599,-0.02652371512064272,-0.045128666445145856,-0.011201473393015395,1.0265237151206428,1.0112014733930155,1.0451286664451458,-0.006933584972272376,-0.0019092764155944097,0.05623872550710885,0.06578024215551068,0.06975796788880902,False,False,negative_recovery,interpretable,0.0,1000,0,1000,manavgat_2021__mugla_2021
manavgat_2021,mugla_2021,manavgat_2021_to_mugla_2021,baseline,coral_after_regionwise_zscore,pr_auc,0.2249450861168977,0.0651977604696889,0.0640882214952866,0.15974732564720878,-0.001109538974402302,0.16085686462161108,-0.006945587163397303,-0.021220793632280716,0.0059656803908250166,1.0069455871633972,0.9940343196091749,1.0212207936322808,-0.003303428439042508,0.0009390297431399361,0.058882242982284436,0.06920700891345392,0.06975796788880902,False,False,negative_recovery,interpretable,1.1102230246251565e-16,1000,0,1000,manavgat_2021__mugla_2021
manavgat_2021,mugla_2021,manavgat_2021_to_mugla_2021,thermal,regionwise_zscore,roc_auc,0.8589830389802724,0.4376617829318566,0.4267463273627929,0.4213212560484158,-0.010915455569063703,0.4322367116174795,-0.02590767831521266,-0.06364029531574757,0.009117579624170388,1.0259076783152126,0.9908824203758296,1.0636402953157476,-0.026519953350867174,0.0038064751062877843,0.4082574008576067,0.4438949066036892,0.5,False,False,negative_recovery,interpretable,1.1102230246251565e-16,1000,0,1000,manavgat_2021__mugla_2021
manavgat_2021,mugla_2021,manavgat_2021_to_mugla_2021,thermal,coral_after_regionwise_zscore,roc_auc,0.8589830389802724,0.4376617829318566,0.4174205014173673,0.4213212560484158,-0.020241281514489284,0.4415625375629051,-0.04804239336114405,-0.08168698463434079,-0.015529730124945748,1.048042393361144,1.0155297301249457,1.0816869846343409,-0.03388032787129526,-0.006750368019519916,0.39802033550840654,0.43624211627761816,0.5,False,False,negative_recovery,interpretable,0.0,1000,0,1000,manavgat_2021__mugla_2021
manavgat_2021,mugla_2021,manavgat_2021_to_mugla_2021,thermal,regionwise_zscore,pr_auc,0.4467473901441791,0.0595168689240478,0.0574282498799801,0.3872305212201313,-0.002088619044067694,0.389319140264199,-0.0053937355905898845,-0.0114605864919564,0.0005209101770509814,1.00539373559059,0.9994790898229491,1.0114605864919564,-0.004347585747785518,0.00021156194343266576,0.05284759571559151,0.06206933840010737,0.06975796788880902,False,False,negative_recovery,interpretable,0.0,1000,0,1000,manavgat_2021__mugla_2021
