feature,a,b,auc_a,auc_b,point_reversal,strict_supported,pair_dir,pair_reversal_status,auc_difference_bejis_minus_manavgat,auc_difference_ci_low,auc_difference_ci_high,auc_difference_target_minus_source
downscaled_lst_mean,manavgat_2021,mugla_2021,0.5520694210669516,0.3069772529643672,True,False,manavgat_2021__mugla_2021,point_direction_reversal_interval_uncertain,,-0.3473190508896884,-0.1372305902105311,-0.2433870588971821
downscaled_lst_mean,manavgat_2021,evia_2021_extended,0.5520694210669516,0.3765491129362415,True,False,manavgat_2021__evia_2021_extended,point_direction_reversal_interval_uncertain,,-0.2918413471026753,-0.0529914590282106,-0.173252946519988
downscaled_lst_mean,manavgat_2021,montiferru_2021,0.5520694210669516,0.364736376795746,True,False,montiferru_2021__manavgat_2021,point_direction_reversal_interval_uncertain,,0.0140305002182132,0.3443940614426586,0.1836092169206736
downscaled_lst_mean,bejis_2022,mugla_2021,0.4836430737466933,0.3069772529643672,False,False,bejis_2022__mugla_2021,no_direction_reversal,,-0.2754708718008796,-0.0818971014867797,-0.1750061514400337
downscaled_lst_mean,bejis_2022,evia_2021_extended,0.4836430737466933,0.3765491129362415,False,False,bejis_2022__evia_2021_extended,no_direction_reversal,,-0.2127456896383668,0.0077769691507624,-0.1048720390628396
downscaled_lst_mean,bejis_2022,montiferru_2021,0.4836430737466933,0.364736376795746,False,False,montiferru_2021__bejis_2022,no_direction_reversal,,-0.0435259583289374,0.2746063401581443,0.1152283094635252
downscaled_lst_mean,mugla_2021,evia_2021_extended,0.3069772529643672,0.3765491129362415,False,False,mugla_2021__evia_2021_extended,no_direction_reversal,,-0.032668682101508,0.1775780523020934,0.0701341123771941
downscaled_lst_mean,mugla_2021,montiferru_2021,0.3069772529643672,0.364736376795746,False,False,montiferru_2021__mugla_2021,no_direction_reversal,,-0.2119597058722643,0.0799338687782903,-0.0597778419765084
downscaled_lst_mean,evia_2021_extended,montiferru_2021,0.3765491129362415,0.364736376795746,False,False,montiferru_2021__evia_2021_extended,no_direction_reversal,,-0.1517490425709838,0.167254585977753,0.0103562704006856
fused_lst_mean,manavgat_2021,bejis_2022,0.5400826188182982,0.4806129105103555,True,False,manavgat_2021__bejis_2022,point_direction_reversal_interval_uncertain,-0.0597030990482743,-0.1688099157570435,0.0519078343627321,
fused_lst_mean,manavgat_2021,mugla_2021,0.5400826188182982,0.3252143462207417,True,False,manavgat_2021__mugla_2021,point_direction_reversal_interval_uncertain,,-0.3142587349059439,-0.1114241080956226,-0.2134352074127815
fused_lst_mean,manavgat_2021,evia_2021_extended,0.5400826188182982,0.3756612638414718,True,False,manavgat_2021__evia_2021_extended,point_direction_reversal_interval_uncertain,,-0.2761452178192233,-0.0477724495341837,-0.1624233577872247
fused_lst_mean,manavgat_2021,montiferru_2021,0.5400826188182982,0.3704727050647962,True,False,montiferru_2021__manavgat_2021,point_direction_reversal_interval_uncertain,,-0.00033541898027,0.3257808841670685,0.1661840120075379
fused_lst_mean,bejis_2022,mugla_2021,0.4806129105103555,0.3252143462207417,False,False,bejis_2022__mugla_2021,no_direction_reversal,,-0.2480174978410034,-0.0653349150292475,-0.1537321083645071
fused_lst_mean,bejis_2022,evia_2021_extended,0.4806129105103555,0.3756612638414718,False,False,bejis_2022__evia_2021_extended,no_direction_reversal,,-0.2019451402104738,0.0050257742930315,-0.1027202587389504
fused_lst_mean,bejis_2022,montiferru_2021,0.4806129105103555,0.3704727050647962,False,False,montiferru_2021__bejis_2022,no_direction_reversal,,-0.047190418929375,0.2607604556909454,0.1064809129592636
fused_lst_mean,mugla_2021,evia_2021_extended,0.3252143462207417,0.3756612638414718,False,False,mugla_2021__evia_2021_extended,no_direction_reversal,,-0.0457821770095321,0.1530514540647239,0.0510118496255567
fused_lst_mean,mugla_2021,montiferru_2021,0.3252143462207417,0.3704727050647962,False,False,montiferru_2021__mugla_2021,no_direction_reversal,,-0.1968613802526819,0.0927107455048988,-0.0472511954052435
fused_lst_mean,evia_2021_extended,montiferru_2021,0.3756612638414718,0.3704727050647962,False,False,montiferru_2021__evia_2021_extended,no_direction_reversal,,-0.1579605594110204,0.1560937458660937,0.0037606542203132
