direction,source,target,positive_count,negative_count,raw_thermal_roc,raw_thermal_pr,raw_thermal_roc_lo,raw_thermal_roc_hi,raw_thermal_pr_lo,raw_thermal_pr_hi,raw_baseline_roc,raw_baseline_pr,raw_baseline_roc_lo,raw_baseline_roc_hi,raw_baseline_pr_lo,raw_baseline_pr_hi,z_thermal_roc,z_thermal_pr,z_thermal_roc_lo,z_thermal_roc_hi,z_thermal_pr_lo,z_thermal_pr_hi,z_baseline_roc,z_baseline_pr,z_baseline_roc_lo,z_baseline_roc_hi,z_baseline_pr_lo,z_baseline_pr_hi,coral_thermal_roc,coral_thermal_pr,coral_thermal_roc_lo,coral_thermal_roc_hi,coral_thermal_pr_lo,coral_thermal_pr_hi,coral_baseline_roc,coral_baseline_pr,coral_baseline_roc_lo,coral_baseline_roc_hi,coral_baseline_pr_lo,coral_baseline_pr_hi,within_thermal_roc,within_thermal_pr,within_thermal_roc_lo,within_thermal_roc_hi,within_thermal_pr_lo,within_thermal_pr_hi,within_baseline_roc,within_baseline_pr,within_baseline_roc_lo,within_baseline_roc_hi,within_baseline_pr_lo,within_baseline_pr_hi,prevalence
manavgat_2021_to_montiferru_2021,manavgat_2021,montiferru_2021,539,2005,0.5332600780053577,0.2426039695542825,0.4877918388024024,0.5804071088492808,0.2021610886191396,0.29155262812737,0.5779257792439125,0.2640832259982764,0.5348215647812358,0.6191237100074252,0.2209412414763999,0.3140882755928755,0.5857355683148345,0.2540064941141997,0.5396243213692403,0.6287897288423395,0.212277325778118,0.299476112048947,0.5996011825723262,0.2828437890105491,0.5558081804033332,0.6398365914204734,0.2359230760469585,0.3363612162224088,0.5922411041043032,0.2497813757168238,0.550173988813856,0.6311614882938034,0.2101262675127364,0.2957113190703969,0.5866113935939372,0.2524502478433585,0.5466739380534793,0.6260961974122135,0.2103573112799353,0.2964123655199642,0.8826347859479317,0.6846394141329942,0.8607664526480031,0.9028682174503468,0.6195366777820278,0.741358094385819,0.7811972850804343,0.4759114438128332,0.7505831035276824,0.8086343867839564,0.4114558472435762,0.5383753808318318,0.21187106918238993
manavgat_2021_to_mugla_2021,manavgat_2021,mugla_2021,2911,38819,0.4701598710870077,0.0626464704650159,0.4514544710147362,0.4880966102855031,0.0577696885126315,0.067992386064003,0.5079294316533509,0.0749055111757259,0.4906738596515208,0.5265559915021903,0.0685322751723621,0.0823366928042716,0.4305043280209929,0.0610343471113958,0.410934937284168,0.4494361095670697,0.0556809873155977,0.066700595583676,0.4714366614166466,0.0651590527884499,0.4534788088137885,0.4892234764147251,0.0598386827036628,0.0707236665705395,0.4429622459524184,0.0637275561671595,0.4226297285809868,0.4614536793317533,0.0580893943710391,0.0695841994661011,0.485676780598847,0.068475238985024,0.4679021117772,0.5038546010611735,0.0627614381195844,0.0744449727469209,0.8589830389802724,0.4467473901441791,0.8481203922419467,0.869914747777123,0.4145333271981496,0.4782379095090955,0.7433200295403336,0.2249450861168977,0.7301716362761909,0.7554337410871782,0.2012045323354268,0.2508982745555573,0.06975796788880902
montiferru_2021_to_bejis_2022,montiferru_2021,bejis_2022,1100,14090,0.5483011162010453,0.0928510251461696,0.5209528316649221,0.5781810365217555,0.0771592840133878,0.1147114346208885,0.6126267823730563,0.1136751837958642,0.5872554258748676,0.6394773192550581,0.0943277675126874,0.1395413693376682,0.5737406929479322,0.081698703494162,0.5516607198105777,0.5963573577951428,0.0720350094307861,0.0926843830089716,0.590360184528034,0.0841347777159576,0.5689359657748891,0.6095504563608694,0.074194293885861,0.0952712474425769,0.5689084457061746,0.0804576841011413,0.5475899914764071,0.5909137420178239,0.0705414942821771,0.0918474206063214,0.5852029485773276,0.0821453875937304,0.5612138324237973,0.6066705166312283,0.0723496010991747,0.0932397557528258,0.9178110845861024,0.4978078062944499,0.9071861695437556,0.9278181938423607,0.4487944812205537,0.5503967096573044,0.8616776566230079,0.3027735748414686,0.8483941657155816,0.8744242952483523,0.2696320147990121,0.3400293028438292,0.07241606319947334
montiferru_2021_to_evia_2021_extended,montiferru_2021,evia_2021_extended,2664,6634,0.5861929535806533,0.3170782579446176,0.5651484545459279,0.6060253882475715,0.2930494602497059,0.3412846214884711,0.5564241132902574,0.2960606808855754,0.5376255794735346,0.576027684629921,0.2745739110267233,0.3182573257287597,0.6304455740787516,0.3298584063542413,0.6112140564678675,0.6490369448062729,0.3083015419437573,0.35462857538496,0.5769329398738503,0.3109524269698739,0.5580556631232996,0.5951330195476806,0.2890394782144066,0.3344929369341824,0.6238898304394234,0.3255290121904344,0.6048135928730249,0.641359628323993,0.3033118303089869,0.3503069541366851,0.5502879650829606,0.2937517530606864,0.53138782639047,0.5701573798934413,0.2735877062219363,0.31611496525238,0.9122372202621674,0.8163670997686907,0.9032670850463208,0.921311229847984,0.7930609904928257,0.841474452810321,0.7589523122760988,0.5159513545668625,0.7423696348521028,0.7743826155067334,0.4855330055775207,0.5531852279021499,0.28651322865132284
montiferru_2021_to_manavgat_2021,montiferru_2021,manavgat_2021,784,19727,0.5670426836522615,0.042455374077607,0.5385742898537291,0.5938111273062514,0.0360459089927449,0.0493621723365356,0.5018395227508553,0.0370048816828912,0.4717994822654587,0.5340309669317703,0.0315789474687948,0.0435542986429144,0.5732315623567823,0.0543135270110899,0.5378175547085827,0.6087978917552037,0.0443921546588307,0.0668130804299025,0.652874394929564,0.0632813629749802,0.6240789708239366,0.681405358643532,0.052724725219444,0.0760817220677554,0.6060778413611098,0.0533911580610791,0.5742353296728979,0.6385605092364502,0.0447110539578611,0.0631939461956548,0.6815443107085182,0.066356690050416,0.6571369558035665,0.7046380558928362,0.0567355176122564,0.0779955774173289,0.8696419777927898,0.2156263996380977,0.8538888391904638,0.8832456142641114,0.1786297350186277,0.2566208229446284,0.8027358197042693,0.1188361147290672,0.7835229096136569,0.8206194050343537,0.0995675649239981,0.1428079865183181,0.03822339232606894
montiferru_2021_to_mugla_2021,montiferru_2021,mugla_2021,2911,38819,0.6193519007685069,0.0886887632396203,0.6042787356947583,0.6343128764211556,0.0816367953372187,0.0962892635428489,0.6512032487818435,0.1241894674126285,0.6347654907335513,0.667565377332467,0.1115862576764428,0.1391881551322054,0.5759383216467225,0.0803265326884289,0.5618336621699772,0.5894226282488194,0.0737290885272719,0.0873768443096597,0.6299301590911015,0.1408640971552988,0.6132605729541819,0.6458010350289975,0.1246375832519991,0.1606547068699503,0.5649497745214649,0.0850784686310193,0.5499669328507472,0.579170354844776,0.0767593889824812,0.0943977278543194,0.6322589209374845,0.1273386943698122,0.6155970266759292,0.6494384910334697,0.1136533695679287,0.1425536511417853,0.8589830389802724,0.4467473901441791,0.8481203922419467,0.869914747777123,0.4145333271981496,0.4782379095090955,0.7433200295403336,0.2249450861168977,0.7301716362761909,0.7554337410871782,0.2012045323354268,0.2508982745555573,0.06975796788880902
mugla_2021_to_bejis_2022,mugla_2021,bejis_2022,1100,14090,0.5831912381443964,0.0882719168819328,0.5606654572640564,0.6073082468046294,0.0767863402760264,0.1023369929900934,0.4507383379572875,0.0641658658878618,0.4250135027866539,0.4751079247909861,0.0558185379146385,0.0739134577185117,0.5352625975869411,0.0721847069129346,0.5124544199791791,0.5566333055543582,0.0638972156241327,0.0818858429428835,0.573885605522937,0.0852407424254424,0.5460276410544633,0.5993454157941586,0.0742903510446518,0.0972890599271531,0.560332344022195,0.0779051864706781,0.537746956824107,0.5809565791531939,0.0686679702117488,0.0886502560456489,0.6087499838699271,0.0956030273675055,0.5811961217370522,0.6318741920473697,0.0827757690075599,0.1097935349033282,0.9178110845861024,0.4978078062944499,0.9071861695437556,0.9278181938423607,0.4487944812205537,0.5503967096573044,0.8616776566230079,0.3027735748414686,0.8483941657155816,0.8744242952483523,0.2696320147990121,0.3400293028438292,0.07241606319947334
mugla_2021_to_evia_2021_extended,mugla_2021,evia_2021_extended,2664,6634,0.6534051763551312,0.3787524641133996,0.6363728508589772,0.6713614397467457,0.3498527753000058,0.4090331122089243,0.5997551855443022,0.3436985044779396,0.5815470194523314,0.6200975692432298,0.3181644944201441,0.3717303448340667,0.5613249007976924,0.2928117862149897,0.5425937242083649,0.5799223988953973,0.2731702779171664,0.3149321885082713,0.544376397048239,0.2893900438523016,0.5266899778437787,0.5629652180537331,0.268787198681515,0.3113645216655391,0.5632802590803043,0.2940616170972712,0.5453443768848242,0.5824200701235744,0.2739347655674102,0.3157776271942127,0.5526286291567419,0.2970540717087042,0.5344509104335459,0.5711512676778622,0.2757052532885047,0.3196778144495678,0.9122372202621674,0.8163670997686907,0.9032670850463208,0.921311229847984,0.7930609904928257,0.841474452810321,0.7589523122760988,0.5159513545668625,0.7423696348521028,0.7743826155067334,0.4855330055775207,0.5531852279021499,0.28651322865132284
mugla_2021_to_manavgat_2021,mugla_2021,manavgat_2021,784,19727,0.4009996658469744,0.0287387742102901,0.3777613806172705,0.4259298592506575,0.0251113805079263,0.032768803011388,0.52151982986128,0.0378368644741754,0.496611260083133,0.5480918538080698,0.0324921996645645,0.0439007228850996,0.5589374037240993,0.0431942859100813,0.5305752264513666,0.5865020720511877,0.0365461565612819,0.0508260620757395,0.5762350277719441,0.048126967745402,0.5476150047509709,0.6055727211040715,0.0402837932365484,0.0567892107252037,0.5604041725677953,0.0439412607577234,0.5350207448580354,0.5869154761066447,0.0374964502960468,0.0515864214393736,0.6013406984936216,0.0479358307773327,0.5774575624049685,0.6264962022372648,0.0411868111941344,0.0561816826269896,0.8696419777927898,0.2156263996380977,0.8538888391904638,0.8832456142641114,0.1786297350186277,0.2566208229446284,0.8027358197042693,0.1188361147290672,0.7835229096136569,0.8206194050343537,0.0995675649239981,0.1428079865183181,0.03822339232606894
mugla_2021_to_montiferru_2021,mugla_2021,montiferru_2021,539,2005,0.5312433202707516,0.2143039892275231,0.4945820166635634,0.567525836738845,0.1815138320629381,0.2496966788636342,0.6105251713018012,0.2825954007520012,0.5707068969179695,0.6533693535767473,0.2342297883927736,0.3384819935194914,0.5870111363520698,0.2761025599260284,0.5494272968236976,0.6241094993220929,0.2258996806237085,0.3301471174484791,0.651472432092311,0.3696744637866079,0.6143168306351452,0.6888286947958028,0.3077583375286247,0.4340876989546698,0.583848356844438,0.2744481546270525,0.546609250527778,0.6228974652038468,0.2290832986279621,0.3268554537794498,0.6170547656831946,0.3427788269281981,0.5773693763133949,0.6558631749909002,0.2804632452775137,0.4059770282783916,0.8826347859479317,0.6846394141329942,0.8607664526480031,0.9028682174503468,0.6195366777820278,0.741358094385819,0.7811972850804343,0.4759114438128332,0.7505831035276824,0.8086343867839564,0.4114558472435762,0.5383753808318318,0.21187106918238993
