feature,a,b,auc_a,auc_b,point_reversal,strict_supported,pair_dir,pair_reversal_status,auc_difference_bejis_minus_manavgat,auc_difference_ci_low,auc_difference_ci_high,auc_difference_target_minus_source
current_lst_mean,manavgat_2021,bejis_2022,0.6646991429203886,0.4767477506934928,True,False,manavgat_2021__bejis_2022,point_direction_reversal_interval_uncertain,-0.1887318924324622,-0.2821959672605637,-0.0968959949378859,
current_lst_mean,manavgat_2021,mugla_2021,0.6646991429203886,0.324818209196232,True,True,manavgat_2021__mugla_2021,bootstrap_supported_direction_reversal,,-0.4155204919973331,-0.2584205017593918,-0.33923147328836
current_lst_mean,manavgat_2021,evia_2021_extended,0.6646991429203886,0.376519076673484,True,True,manavgat_2021__evia_2021_extended,bootstrap_supported_direction_reversal,,-0.3828518878050936,-0.1938259108476417,-0.2869757275478982
current_lst_mean,manavgat_2021,montiferru_2021,0.6646991429203886,0.3704643770906685,True,False,montiferru_2021__manavgat_2021,point_direction_reversal_interval_uncertain,,0.1339955556374321,0.4417669012147876,0.291576450438164
current_lst_mean,bejis_2022,mugla_2021,0.4767477506934928,0.324818209196232,False,False,bejis_2022__mugla_2021,no_direction_reversal,,-0.2448197244653156,-0.063182649875147,-0.1504995808558978
current_lst_mean,bejis_2022,evia_2021_extended,0.4767477506934928,0.376519076673484,False,False,bejis_2022__evia_2021_extended,no_direction_reversal,,-0.1974798516209251,0.0084506942823466,-0.098243835115436
current_lst_mean,bejis_2022,montiferru_2021,0.4767477506934928,0.3704643770906685,False,False,montiferru_2021__bejis_2022,no_direction_reversal,,-0.0518580697976635,0.2529066633846492,0.1028445580057018
current_lst_mean,mugla_2021,evia_2021_extended,0.324818209196232,0.376519076673484,False,False,mugla_2021__evia_2021_extended,no_direction_reversal,,-0.0451218556016733,0.1547049037741042,0.0522557457404617
current_lst_mean,mugla_2021,montiferru_2021,0.324818209196232,0.3704643770906685,False,False,montiferru_2021__mugla_2021,no_direction_reversal,,-0.1971672774626022,0.0921933947586285,-0.047655022850196
current_lst_mean,evia_2021_extended,montiferru_2021,0.376519076673484,0.3704643770906685,False,False,montiferru_2021__evia_2021_extended,no_direction_reversal,,-0.1568228883893338,0.1560676959018331,0.0046007228902657
current_tvdi_mean,manavgat_2021,bejis_2022,0.6770834881362302,0.5172782323463783,False,False,manavgat_2021__bejis_2022,no_direction_reversal,-0.1606957933930234,-0.2664900451056534,-0.0605861894654933,
current_tvdi_mean,manavgat_2021,mugla_2021,0.6770834881362302,0.3357699119089857,True,True,manavgat_2021__mugla_2021,bootstrap_supported_direction_reversal,,-0.4229159622656017,-0.2595949204954164,-0.3409730521448816
current_tvdi_mean,manavgat_2021,evia_2021_extended,0.6770834881362302,0.3618882658736981,True,True,manavgat_2021__evia_2021_extended,bootstrap_supported_direction_reversal,,-0.4100822064025092,-0.2197901644374758,-0.3144444026186806
current_tvdi_mean,manavgat_2021,montiferru_2021,0.6770834881362302,0.3555286181577596,True,True,montiferru_2021__manavgat_2021,bootstrap_supported_direction_reversal,,0.1632788957557829,0.4651147169581566,0.3195264923538063
current_tvdi_mean,bejis_2022,mugla_2021,0.5172782323463783,0.3357699119089857,True,False,bejis_2022__mugla_2021,point_direction_reversal_interval_uncertain,,-0.2844245692631467,-0.0813454196435595,-0.1802772587518581
current_tvdi_mean,bejis_2022,evia_2021_extended,0.5172782323463783,0.3618882658736981,True,False,bejis_2022__evia_2021_extended,point_direction_reversal_interval_uncertain,,-0.2666259071858468,-0.0414118846051289,-0.1537486092256571
current_tvdi_mean,bejis_2022,montiferru_2021,0.5172782323463783,0.3555286181577596,True,False,montiferru_2021__bejis_2022,point_direction_reversal_interval_uncertain,,-0.0040509326780296,0.3156322331070116,0.1588306989607829
current_tvdi_mean,mugla_2021,evia_2021_extended,0.3357699119089857,0.3618882658736981,False,False,mugla_2021__evia_2021_extended,no_direction_reversal,,-0.0791886685513492,0.1324252133405764,0.0265286495262009
current_tvdi_mean,mugla_2021,montiferru_2021,0.3357699119089857,0.3555286181577596,False,False,montiferru_2021__mugla_2021,no_direction_reversal,,-0.1737539339838568,0.1203581818549478,-0.0214465597910751
current_tvdi_mean,evia_2021_extended,montiferru_2021,0.3618882658736981,0.3555286181577596,False,False,montiferru_2021__evia_2021_extended,no_direction_reversal,,-0.1524521799198469,0.1542782676304976,0.0050820897351258
tvdi_difference_mean,manavgat_2021,bejis_2022,0.4603939869501002,0.5124941631737097,True,False,manavgat_2021__bejis_2022,point_direction_reversal_interval_uncertain,0.0524272542374735,-0.0346530269022461,0.138924958641517,
tvdi_difference_mean,manavgat_2021,mugla_2021,0.4603939869501002,0.4900245995441075,False,False,manavgat_2021__mugla_2021,no_direction_reversal,,-0.0712798469136247,0.1303473639202789,0.0294510619989036
tvdi_difference_mean,manavgat_2021,evia_2021_extended,0.4603939869501002,0.5191031776643451,True,False,manavgat_2021__evia_2021_extended,point_direction_reversal_interval_uncertain,,-0.0246859498775481,0.1427246523348821,0.05820242538459
tvdi_difference_mean,manavgat_2021,montiferru_2021,0.4603939869501002,0.3776218081882492,False,False,montiferru_2021__manavgat_2021,no_direction_reversal,,-0.0549384591612095,0.1902675685001788,0.080836235083986
tvdi_difference_mean,bejis_2022,mugla_2021,0.5124941631737097,0.4900245995441075,True,False,bejis_2022__mugla_2021,point_direction_reversal_interval_uncertain,,-0.1350717413973996,0.0885215353838567,-0.0229761922385698
tvdi_difference_mean,bejis_2022,evia_2021_extended,0.5124941631737097,0.5191031776643451,False,False,bejis_2022__evia_2021_extended,no_direction_reversal,,-0.0954117970071949,0.1029742011725782,0.0057751711471165
tvdi_difference_mean,bejis_2022,montiferru_2021,0.5124941631737097,0.3776218081882492,True,False,montiferru_2021__bejis_2022,point_direction_reversal_interval_uncertain,,-0.0013924779316083,0.2533806870981555,0.1332634893214596
tvdi_difference_mean,mugla_2021,evia_2021_extended,0.4900245995441075,0.5191031776643451,True,False,mugla_2021__evia_2021_extended,point_direction_reversal_interval_uncertain,,-0.0779536153927744,0.143323027689046,0.0287513633856864
tvdi_difference_mean,mugla_2021,montiferru_2021,0.4900245995441075,0.3776218081882492,False,False,montiferru_2021__mugla_2021,no_direction_reversal,,-0.0431718224483264,0.2352901994847675,0.1102872970828897
tvdi_difference_mean,evia_2021_extended,montiferru_2021,0.5191031776643451,0.3776218081882492,True,False,montiferru_2021__evia_2021_extended,point_direction_reversal_interval_uncertain,,0.0006911796021418,0.2640131322863772,0.1390386604685761
downscaled_lst_mean,manavgat_2021,bejis_2022,0.6831504494668662,0.4836430737466933,True,False,manavgat_2021__bejis_2022,point_direction_reversal_interval_uncertain,-0.200417067080748,-0.3053576994526116,-0.1035737237020115,
downscaled_lst_mean,manavgat_2021,mugla_2021,0.6831504494668662,0.3069772529643672,True,True,manavgat_2021__mugla_2021,bootstrap_supported_direction_reversal,,-0.4540699054208568,-0.2927384140800848,-0.3754232185207817
downscaled_lst_mean,manavgat_2021,evia_2021_extended,0.6831504494668662,0.3765491129362415,True,True,manavgat_2021__evia_2021_extended,bootstrap_supported_direction_reversal,,-0.4047497760781444,-0.207794364326643,-0.3052891061435876
downscaled_lst_mean,manavgat_2021,montiferru_2021,0.6831504494668662,0.364736376795746,True,False,montiferru_2021__manavgat_2021,point_direction_reversal_interval_uncertain,,0.1575302716611958,0.4653057208425338,0.3156453765442732
downscaled_lst_mean,bejis_2022,mugla_2021,0.4836430737466933,0.3069772529643672,False,False,bejis_2022__mugla_2021,no_direction_reversal,,-0.2754708718008796,-0.0818971014867797,-0.1750061514400337
downscaled_lst_mean,bejis_2022,evia_2021_extended,0.4836430737466933,0.3765491129362415,False,False,bejis_2022__evia_2021_extended,no_direction_reversal,,-0.2127456896383668,0.0077769691507624,-0.1048720390628396
downscaled_lst_mean,bejis_2022,montiferru_2021,0.4836430737466933,0.364736376795746,False,False,montiferru_2021__bejis_2022,no_direction_reversal,,-0.0435259583289374,0.2746063401581443,0.1152283094635252
downscaled_lst_mean,mugla_2021,evia_2021_extended,0.3069772529643672,0.3765491129362415,False,False,mugla_2021__evia_2021_extended,no_direction_reversal,,-0.032668682101508,0.1775780523020934,0.0701341123771941
