frame,feature,region_a,region_b,auc_a,auc_b,diff,diff_lo_1000,diff_hi_1000,diff_lo,diff_hi,opposite_sides,p_norm,p_pct,p_iut_norm,p_iut_pct,strict_supported_1000,p_norm_holm,p_pct_holm,p_iut_norm_holm,p_iut_pct_holm,p_norm_bh,p_pct_bh,diff_excl0_1000
collar10,fused_lst_mean,bejis_2022,mugla_2021,0.40232433196663364,0.3323259293398547,0.06999840262677892,-0.026367590182333048,0.16807530335247506,-0.028688382074700598,0.16908508061995964,False,0.16107208260289874,0.1638,1.0,1.0,False,1.0,1.0,1.0,1.0,0.3535728642502655,0.35100000000000003,False
collar10,fused_lst_mean,bejis_2022,evia_2021_extended,0.40232433196663364,0.284711112982141,0.11761321898449262,0.00045040810061253416,0.23285070495978785,-0.005108250364022905,0.23463068752130775,False,0.054076720878173376,0.0595,1.0,1.0,False,1.0,1.0,1.0,1.0,0.16223016263452014,0.17303225806451614,True
collar10,fused_lst_mean,bejis_2022,montiferru_2021,0.40232433196663364,0.3763523581931724,0.02597197377346122,-0.13387653268996008,0.17923226517945137,-0.13477822517062865,0.17325455411114138,False,0.74114631847915,0.7619,1.0,1.0,False,1.0,1.0,1.0,1.0,0.8337896082890438,0.8445,False
collar10,fused_lst_mean,mugla_2021,evia_2021_extended,0.3323259293398547,0.284711112982141,0.047614816357713696,-0.066416410399169,0.15555871445392738,-0.0639613458619409,0.1553655624002218,False,0.3934249131429485,0.3983,1.0,1.0,False,1.0,1.0,1.0,1.0,0.6065715293102635,0.6086065573770492,False
collar10,fused_lst_mean,mugla_2021,montiferru_2021,0.3323259293398547,0.3763523581931724,-0.0440264288533177,-0.1939810169148572,0.09660833031388323,-0.19692354420180197,0.09715966350007865,False,0.5568918636741429,0.5412,1.0,1.0,False,1.0,1.0,1.0,1.0,0.7113780934275062,0.7162941176470587,False
collar10,fused_lst_mean,evia_2021_extended,montiferru_2021,0.284711112982141,0.3763523581931724,-0.0916412452110314,-0.2608608781959227,0.06113344817953604,-0.25950596395198644,0.06574028645649295,False,0.2657339116212577,0.2484,1.0,1.0,False,1.0,1.0,1.0,1.0,0.4773586161011593,0.4562448979591837,False
full,ndvi_mean,manavgat_2021,bejis_2022,0.5640055957519895,0.5587527905026131,0.0052528052493764354,-0.0805241852159226,0.0958683460120634,-0.08543017613718631,0.09555376996408828,False,0.9091647432746652,0.9165,1.0,1.0,False,1.0,1.0,1.0,1.0,0.9405152516634468,0.948103448275862,False
full,ndvi_mean,manavgat_2021,mugla_2021,0.5640055957519895,0.6616527794184797,-0.09764718366649017,-0.16840309565191533,-0.02477609976620452,-0.1747864951708573,-0.021148086280993843,False,0.012242124273460267,0.0108,1.0,1.0,False,0.6978010835872352,0.6156,1.0,1.0,0.03240562307680658,0.02858823529411765,True
full,ndvi_mean,manavgat_2021,evia_2021_extended,0.5640055957519895,0.6391494562092995,-0.07514386045731003,-0.16754880706277972,0.017135570877523546,-0.16722942724174758,0.016685858428596337,False,0.10652823714491348,0.1052,1.0,1.0,False,1.0,1.0,1.0,1.0,0.19175082686084427,0.1967142857142857,False
full,ndvi_mean,manavgat_2021,montiferru_2021,0.5640055957519895,0.5862731853113042,-0.022267589559314738,-0.1580634924616505,0.12137125139379859,-0.16108117367951397,0.12690922982481584,False,0.7620192694568401,0.7889,1.0,1.0,False,1.0,1.0,1.0,1.0,0.8466880771742668,0.855433734939759,False
