source_frame,target_frame,direction,thermal,baseline,delta
full,10km,montiferru_2021_to_mugla_2021,0.6035083440204856,0.6316936593403146,-0.02818531531982904
full,10km,montiferru_2021_to_evia_2021_extended,0.7122160127417136,0.6607822045176017,0.05143380822411192
10km,full,manavgat_2021_to_bejis_2022,0.32508226337183044,0.34831076198464417,-0.02322849861281373
10km,full,manavgat_2021_to_mugla_2021,0.49165225756981223,0.5056168730443783,-0.013964615474566067
10km,full,manavgat_2021_to_evia_2021_extended,0.6994811739686627,0.6632537157295976,0.03622745823906515
10km,full,manavgat_2021_to_montiferru_2021,0.6268725218493654,0.5538209207963394,0.073051601053026
10km,full,bejis_2022_to_manavgat_2021,0.4012012373230027,0.30406132064864666,0.09713991667435606
10km,full,bejis_2022_to_mugla_2021,0.6334709425644437,0.6229482407270823,0.01052270183736137
10km,full,bejis_2022_to_evia_2021_extended,0.5020726560144709,0.5619155766408556,-0.05984292062638463
10km,full,bejis_2022_to_montiferru_2021,0.6732699790412652,0.606521729072495,0.06674824996877016
10km,full,mugla_2021_to_manavgat_2021,0.3133510811940396,0.4433187698262847,-0.12996768863224512
10km,full,mugla_2021_to_bejis_2022,0.5918272791793018,0.543565359055423,0.048261920123878754
10km,full,mugla_2021_to_evia_2021_extended,0.6348587244163066,0.579302150356567,0.05555657405973968
10km,full,mugla_2021_to_montiferru_2021,0.5524574463655333,0.5939224295476522,-0.041464983182118886
10km,full,evia_2021_extended_to_manavgat_2021,0.5176922088274316,0.6741448672845657,-0.15645265845713408
10km,full,evia_2021_extended_to_bejis_2022,0.43807890831666557,0.3775742951158139,0.060504613200851654
10km,full,evia_2021_extended_to_mugla_2021,0.6338888374198397,0.5230126943913941,0.11087614302844562
10km,full,evia_2021_extended_to_montiferru_2021,0.7148131526471391,0.5929022527170016,0.12191089993013748
10km,full,montiferru_2021_to_manavgat_2021,0.4026544928464477,0.33556334369540625,0.06709114915104147
10km,full,montiferru_2021_to_bejis_2022,0.5718514097683721,0.6182700174204788,-0.0464186076521067
10km,full,montiferru_2021_to_mugla_2021,0.6217833819367035,0.6457123158648305,-0.023928933928127005
10km,full,montiferru_2021_to_evia_2021_extended,0.5768571178957069,0.5517628440167632,0.025094273878943696
10km,10km,manavgat_2021_to_bejis_2022,0.4067471874936882,0.4072797964088788,-0.00053260891519058
10km,10km,manavgat_2021_to_mugla_2021,0.49293586621114155,0.4970422519956101,-0.004106385784468536
10km,10km,manavgat_2021_to_evia_2021_extended,0.7041564052370128,0.6923791490088218,0.011777256228191035
10km,10km,manavgat_2021_to_montiferru_2021,0.6268513649343992,0.5543187500059433,0.07253261492845586
10km,10km,bejis_2022_to_manavgat_2021,0.45184064029077,0.3883979706270462,0.0634426696637238
10km,10km,bejis_2022_to_mugla_2021,0.631353207604753,0.6270119903213376,0.004341217283415411
10km,10km,bejis_2022_to_evia_2021_extended,0.6020573727933541,0.6445985997679923,-0.042541226974638136
10km,10km,bejis_2022_to_montiferru_2021,0.6694017339473882,0.6040249565181834,0.06537677742920478
10km,10km,mugla_2021_to_manavgat_2021,0.4332060032457249,0.5044721661361076,-0.07126616289038268
10km,10km,mugla_2021_to_bejis_2022,0.6005303871866858,0.5330886065722767,0.06744178061440909
10km,10km,mugla_2021_to_evia_2021_extended,0.7278867652699428,0.6718498580356056,0.056036907234337185
10km,10km,mugla_2021_to_montiferru_2021,0.5491945997913633,0.5912728261706808,-0.04207822637931746
10km,10km,evia_2021_extended_to_manavgat_2021,0.5937672054602534,0.6576786035311627,-0.06391139807090929
10km,10km,evia_2021_extended_to_bejis_2022,0.5207648805315991,0.4519953141726081,0.06876956635899101
10km,10km,evia_2021_extended_to_mugla_2021,0.6369476913190233,0.5287180148460232,0.10822967647300008
10km,10km,evia_2021_extended_to_montiferru_2021,0.7099218420884966,0.5923240923973149,0.11759774969118175
10km,10km,montiferru_2021_to_manavgat_2021,0.49715412056632635,0.4163475872915319,0.08080653327479448
10km,10km,montiferru_2021_to_bejis_2022,0.6240372846438166,0.6610190664700774,-0.03698178182626077
10km,10km,montiferru_2021_to_mugla_2021,0.603046166950845,0.6268908534008333,-0.023844686449988273
10km,10km,montiferru_2021_to_evia_2021_extended,0.7000579726923184,0.6554974951587101,0.044560477533608256
5km,5km,manavgat_2021_to_bejis_2022,0.5106584740432532,0.4823462673569113,0.02831220668634188
