block,direction,source_region,target_region,metric,value,ci_low,ci_high,source_file,source_column
aoa,bejis_2022_to_evia_2021_extended,bejis_2022,evia_2021_extended,target_p95_dissimilarity,0.5257321618973324,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_p95_dissimilarity
aoa,bejis_2022_to_evia_2021_extended,bejis_2022,evia_2021_extended,raw_thermal_roc_auc,0.3828214331304473,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_roc_auc
aoa,bejis_2022_to_evia_2021_extended,bejis_2022,evia_2021_extended,raw_thermal_pr_auc,0.2257835213181088,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_pr_auc
aoa,mugla_2021_to_manavgat_2021,mugla_2021,manavgat_2021,fraction_inside_weighted_aoa,0.5305278521041109,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",fraction_inside_weighted_aoa
aoa,mugla_2021_to_manavgat_2021,mugla_2021,manavgat_2021,unweighted_fraction_target_cells_inside_support,0.9702262223303332,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",unweighted_fraction_target_cells_inside_support
aoa,mugla_2021_to_manavgat_2021,mugla_2021,manavgat_2021,target_mean_dissimilarity,0.2321812455590105,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_mean_dissimilarity
aoa,mugla_2021_to_manavgat_2021,mugla_2021,manavgat_2021,target_p95_dissimilarity,0.5501617268303004,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_p95_dissimilarity
aoa,mugla_2021_to_manavgat_2021,mugla_2021,manavgat_2021,raw_thermal_roc_auc,0.3449553227686198,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_roc_auc
aoa,mugla_2021_to_manavgat_2021,mugla_2021,manavgat_2021,raw_thermal_pr_auc,0.1007227330135432,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_pr_auc
aoa,mugla_2021_to_bejis_2022,mugla_2021,bejis_2022,fraction_inside_weighted_aoa,0.0050032916392363,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",fraction_inside_weighted_aoa
