feature,population,source_experiment_id,target_experiment_id,source_mean_difference,target_mean_difference,source_median_difference,target_median_difference,source_rank_biserial_correlation,target_rank_biserial_correlation,source_raw_auc,target_raw_auc,mean_direction_flip,median_direction_flip,rank_effect_direction_flip,raw_auc_below_0_5_in_one_region_only,relationship_flip_score
elevation_mean,burnable_tree_shrub,montiferru_2021,manavgat_2021,90.6324799730387,-411.0413914186174,122.80813598632812,-573.6948852539062,0.1998675629331541,-0.4938588822063841,0.599933781466577,0.25307055889680796,True,True,True,True,3
elevation_mean,burnable_tree_shrub_grass,montiferru_2021,manavgat_2021,73.67766350450637,-532.7315651615031,68.06744384765625,-717.404541015625,0.16754125817182475,-0.53591803597751,0.5837706290859124,0.232040982011245,True,True,True,True,3
fused_lst_mean,all_valid,montiferru_2021,manavgat_2021,-0.07226570444283453,2.717535182060459,-1.185567855834961,2.790761947631836,-0.05167252684595636,0.3172303781227179,0.4741637365770218,0.658615189061359,True,True,True,True,3
fused_lst_mean,burnable_tree_shrub,montiferru_2021,manavgat_2021,-1.6380265589395933,1.6486879422582135,-2.0897579193115234,1.8745002746582031,-0.20866400021255338,0.2650209799071017,0.3956679998937233,0.6325104899535509,True,True,True,True,3
fused_lst_mean,burnable_tree_shrub_grass,montiferru_2021,manavgat_2021,-2.090780137037598,2.441145394758486,-2.717876434326172,2.611307144165039,-0.2590545898704075,0.33246358089356765,0.37047270506479624,0.6662317904467838,True,True,True,True,3
lst_anomaly_mean,all_valid,montiferru_2021,manavgat_2021,-0.10499221518755014,0.024472541916557178,-0.16476991772651672,0.04680512845516205,-0.12012865704146836,0.03948239047491331,0.4399356714792658,0.5197411952374567,True,True,True,True,3
lst_anomaly_mean,burnable_tree_shrub,montiferru_2021,manavgat_2021,-0.20376018485893488,-0.10715647264197761,-0.22437673807144165,-0.04672469198703766,-0.2442707684006794,-0.018016852366025793,0.3778646157996603,0.4909915738169871,False,False,False,False,0
lst_anomaly_mean,burnable_tree_shrub_grass,montiferru_2021,manavgat_2021,-0.1795341657767875,-0.021451775896591807,-0.22624963521957397,0.004381448030471802,-0.20961973544802193,0.01753841698497327,0.39519013227598904,0.5087692084924866,False,True,True,True,2
ndvi_mean,all_valid,montiferru_2021,manavgat_2021,0.044332666243519836,0.06551835329935651,0.04360830783843994,0.05809512734413147,0.14626787316053336,0.22647277804834842,0.5731339365802667,0.6132363890241742,False,False,False,False,0
ndvi_mean,burnable_tree_shrub,montiferru_2021,manavgat_2021,0.01620152124448082,0.01490659408928352,0.040376901626586914,0.023421525955200195,0.10422265777485284,0.1148813281210519,0.5521113288874264,0.557440664060526,False,False,False,False,0
ndvi_mean,burnable_tree_shrub_grass,montiferru_2021,manavgat_2021,0.0360917479657602,0.02718269696024167,0.05367445945739746,0.0321994423866272,0.17254637062260847,0.128011191503979,0.5862731853113042,0.5640055957519895,False,False,False,False,0
slope_mean,all_valid,montiferru_2021,manavgat_2021,2.4373378347124097,0.23781001193337303,2.184702157974243,-1.920083999633789,0.23974082323736834,-0.03487937426859733,0.6198704116186842,0.48256031286570134,False,True,True,True,2
slope_mean,burnable_tree_shrub,montiferru_2021,manavgat_2021,3.2865889997859288,-1.6678712751380331,4.488030910491943,-2.6250228881835938,0.3136980394000273,-0.17435429070738018,0.6568490197000136,0.4128228546463099,True,True,True,True,3
slope_mean,burnable_tree_shrub_grass,montiferru_2021,manavgat_2021,2.947315497934121,-2.1281918980021395,3.26224422454834,-3.3373279571533203,0.3039442210799532,-0.19963718528983687,0.6519721105399766,0.40018140735508156,True,True,True,True,3
tvdi_difference_mean,all_valid,montiferru_2021,manavgat_2021,-0.037759164788539606,-0.009938507922977263,-0.037420984357595444,-0.0038494765758514404,-0.20856984584290394,-0.0454567340223444,0.395715077078548,0.4772716329888278,False,False,False,False,0
tvdi_difference_mean,burnable_tree_shrub,montiferru_2021,manavgat_2021,-0.05099662023511731,-0.021775434136373926,-0.039320752024650574,-0.01870575174689293,-0.26907819305155034,-0.10844339800203817,0.36546090347422483,0.4457783009989809,False,False,False,False,0
tvdi_difference_mean,burnable_tree_shrub_grass,montiferru_2021,manavgat_2021,-0.04471190567043516,-0.015594639241562257,-0.038623251020908356,-0.010901480913162231,-0.2447563836235015,-0.0792120260997996,0.37762180818824925,0.4603939869501002,False,False,False,False,0
