arm,region,feature,auc,ci_low,ci_high,n_burned,burned_median,unburned_median,source_pair,side,supported
frozen,evia_2021_extended,elevation_mean,0.540559580910425,0.4483537317612215,0.626146085073554,2664,262.8730926513672,228.12908172607425,manavgat_2021__evia_2021_extended,+,False
frozen,evia_2021_extended,slope_mean,0.486543098344048,0.4176929735777913,0.554042450008236,2664,15.05971908569336,15.663115501403809,manavgat_2021__evia_2021_extended,-,False
frozen,evia_2021_extended,lst_anomaly_mean,0.6400549435604515,0.5671047052827075,0.710175869871198,2565,0.5270716547966003,0.1159752048552036,manavgat_2021__evia_2021_extended,+,True
frozen,evia_2021_extended,current_lst_mean,0.376519076673484,0.3012790089007279,0.4558582088724633,2649,34.17230987548828,36.12302589416504,manavgat_2021__evia_2021_extended,-,True
frozen,evia_2021_extended,current_tvdi_mean,0.3618882658736981,0.2852365355103699,0.4421714283463526,2649,0.4897002577781677,0.6088389158248901,manavgat_2021__evia_2021_extended,-,True
frozen,evia_2021_extended,tvdi_difference_mean,0.5191031776643451,0.4444187250619392,0.5889301019447588,2649,-0.0025020684115588,-0.0065445306245237,manavgat_2021__evia_2021_extended,+,False
frozen,evia_2021_extended,downscaled_lst_mean,0.3765491129362415,0.2968591404821376,0.4593307010841324,2657,34.2847785949707,35.9800910949707,manavgat_2021__evia_2021_extended,-,True
frozen,evia_2021_extended,fused_lst_mean,0.3756612638414718,0.3001519143454907,0.4556221037116367,2664,34.21380615234375,36.12302589416504,manavgat_2021__evia_2021_extended,-,True
frozen,montiferru_2021,ndvi_mean,0.5862731853113042,0.4501438316160231,0.7043832813462082,539,0.6181037425994873,0.5644292831420898,montiferru_2021__manavgat_2021,+,False
frozen,montiferru_2021,elevation_mean,0.5837706290859124,0.3953155499799928,0.7623088314675833,539,424.2523193359375,356.18487548828125,montiferru_2021__manavgat_2021,+,False
frozen,montiferru_2021,slope_mean,0.6519721105399766,0.5059965620455151,0.7705472817222545,539,9.148451805114746,5.886207580566406,montiferru_2021__manavgat_2021,+,True
frozen,montiferru_2021,lst_anomaly_mean,0.395190132275989,0.285145350453144,0.5345227829044743,539,-0.6554248332977295,-0.4291751980781555,montiferru_2021__manavgat_2021,-,False
frozen,montiferru_2021,current_lst_mean,0.3704643770906685,0.2478268478286555,0.5129602234841384,539,34.42359161376953,37.1414680480957,montiferru_2021__manavgat_2021,-,False
frozen,montiferru_2021,current_tvdi_mean,0.3555286181577596,0.2331671304845549,0.4990539748344443,539,0.5883014798164368,0.7063643932342529,montiferru_2021__manavgat_2021,-,True
frozen,montiferru_2021,tvdi_difference_mean,0.3776218081882492,0.2821229847499818,0.4965114911278295,539,-0.1514346748590469,-0.1128114238381385,montiferru_2021__manavgat_2021,-,True
frozen,montiferru_2021,downscaled_lst_mean,0.364736376795746,0.2402589964942549,0.5110558445055425,539,34.57616424560547,37.30255508422852,montiferru_2021__manavgat_2021,-,False
frozen,montiferru_2021,fused_lst_mean,0.3704727050647962,0.247836825343333,0.5130079558295708,539,34.42359161376953,37.1414680480957,montiferru_2021__manavgat_2021,-,False
corrected,manavgat_2021,ndvi_mean,0.5640055957519895,0.4993498073043752,0.6277578539104064,2935,0.5439432263374329,0.5117437839508057,manavgat_2021__bejis_2022,+,False
corrected,manavgat_2021,elevation_mean,0.232040982011245,0.1788512202751503,0.2875573502683869,2935,286.5644836425781,1003.9690246582032,manavgat_2021__bejis_2022,-,True
corrected,manavgat_2021,slope_mean,0.4001814073550815,0.3402700046162081,0.4588553288978088,2935,15.800135612487791,19.137463569641117,manavgat_2021__bejis_2022,-,True
corrected,manavgat_2021,lst_anomaly_mean,0.5087692084924866,0.4598304944407059,0.5603616928801307,2901,-0.3801524341106415,-0.3845338821411133,manavgat_2021__bejis_2022,+,False
corrected,manavgat_2021,current_lst_mean,0.6646991429203886,0.6081290746892744,0.7187016715657228,2935,37.36397552490234,34.79208755493164,manavgat_2021__bejis_2022,+,True
corrected,manavgat_2021,current_tvdi_mean,0.6770834881362302,0.6218036548158401,0.7328792708253501,2935,0.6215698719024658,0.4533839225769043,manavgat_2021__bejis_2022,+,True
corrected,manavgat_2021,tvdi_difference_mean,0.4603939869501002,0.4094766111758704,0.5099353700997888,2935,-0.0492196455597877,-0.0383181646466255,manavgat_2021__bejis_2022,-,False
corrected,manavgat_2021,downscaled_lst_mean,0.6831504494668662,0.6261141818665329,0.7385569394422626,2935,37.42384338378906,34.695356369018555,manavgat_2021__bejis_2022,+,True
corrected,manavgat_2021,fused_lst_mean,0.6662317904467838,0.6103754018797709,0.7205473076501159,2935,37.36397552490234,34.752668380737305,manavgat_2021__bejis_2022,+,True
corrected,bejis_2022,ndvi_mean,0.5587527905026131,0.4971818582643429,0.619346637555737,1100,0.5040808022022247,0.4853060990571975,manavgat_2021__bejis_2022,+,False
corrected,bejis_2022,elevation_mean,0.6432824053164721,0.5583150457861116,0.7290055219147464,1100,935.1695251464844,786.5283813476562,manavgat_2021__bejis_2022,+,True
corrected,bejis_2022,slope_mean,0.5207878895412608,0.4393212094762653,0.605295958421595,1100,14.238033771514893,13.619938850402832,manavgat_2021__bejis_2022,+,False
corrected,bejis_2022,lst_anomaly_mean,0.4179915266529903,0.3637850507544111,0.4795630994864565,1005,0.3338882327079773,0.4591719210147857,manavgat_2021__bejis_2022,-,True
corrected,bejis_2022,current_lst_mean,0.4767477506934928,0.4011532923534438,0.5474889652503846,1016,39.11136817932129,39.2850399017334,manavgat_2021__bejis_2022,-,False
corrected,bejis_2022,current_tvdi_mean,0.5172782323463783,0.4290091381060553,0.595208856020078,1016,0.4889261871576309,0.4708514511585235,manavgat_2021__bejis_2022,+,False
corrected,bejis_2022,tvdi_difference_mean,0.5124941631737097,0.4431549328523628,0.5829402577021532,1016,0.1206768453121185,0.1154667139053344,manavgat_2021__bejis_2022,+,False
corrected,bejis_2022,downscaled_lst_mean,0.4836430737466933,0.4003605903074035,0.5598325680030973,1100,39.2506217956543,39.193389892578125,manavgat_2021__bejis_2022,-,False
corrected,bejis_2022,fused_lst_mean,0.4806129105103555,0.4039472512732557,0.5514025133468518,1100,39.141714096069336,39.18988609313965,manavgat_2021__bejis_2022,-,False
corrected,mugla_2021,ndvi_mean,0.6616527794184797,0.6156274522323434,0.7035074327376446,2911,0.5792964100837708,0.5120380520820618,manavgat_2021__mugla_2021,+,True
corrected,mugla_2021,elevation_mean,0.6114025048859928,0.5319021930545539,0.6904319830630276,2911,563.0870361328125,426.5585021972656,manavgat_2021__mugla_2021,+,True
