source_frame,target_frame,direction,thermal,thermal_ci_lo,thermal_ci_hi,ci_above_0.5,ci_below_0.5,baseline,delta
10km,full,montiferru_2021_to_bejis_2022,0.5718514097683721,0.49969477551067204,0.6552068254400859,False,False,0.6182700174204788,-0.0464186076521067
10km,full,montiferru_2021_to_mugla_2021,0.6217833819367035,0.5699666939672619,0.6717531891218316,True,False,0.6457123158648305,-0.023928933928127005
10km,full,montiferru_2021_to_evia_2021_extended,0.5768571178957069,0.5070894885657444,0.6447505545689394,True,False,0.5517627308496317,0.02509438704607525
10km,10km,manavgat_2021_to_bejis_2022,0.4169639070105633,0.34947071292820736,0.48756434693851675,False,True,0.42253125568055583,-0.005567348669992533
10km,10km,manavgat_2021_to_mugla_2021,0.5501935521073891,0.49325677133200607,0.6072745796189718,False,False,0.5728276430072179,-0.022634090899828818
10km,10km,manavgat_2021_to_evia_2021_extended,0.7264413946656937,0.6633200871076285,0.7839457613373836,True,False,0.6789854252617104,0.047455969403983334
10km,10km,manavgat_2021_to_montiferru_2021,0.6115259859127473,0.5151331353700858,0.7090113862258253,True,False,0.603571357250789,0.007954628661958285
10km,10km,bejis_2022_to_manavgat_2021,0.6011833029878169,0.5030744700632289,0.7051608284844356,True,False,0.5364598110130812,0.0647234919747357
10km,10km,bejis_2022_to_mugla_2021,0.631353207604753,0.5749615255932118,0.6857683029324946,True,False,0.627012012114433,0.004341195490319971
10km,10km,bejis_2022_to_evia_2021_extended,0.6020573727933541,0.5078479024489987,0.686596591387484,True,False,0.6445988190293096,-0.04254144623595546
10km,10km,bejis_2022_to_montiferru_2021,0.6694017339473882,0.5301884052258831,0.7775203481016896,True,False,0.6040249565181833,0.06537677742920489
10km,10km,mugla_2021_to_manavgat_2021,0.5122611839985015,0.45394070076291526,0.5736397319354742,False,False,0.6114793163857526,-0.09921813238725108
10km,10km,mugla_2021_to_bejis_2022,0.6005303871866858,0.5474800933615913,0.6527590093667638,True,False,0.5330886065722767,0.06744178061440909
10km,10km,mugla_2021_to_evia_2021_extended,0.7278867652699428,0.6491937858890932,0.8018338540901833,True,False,0.6718498580356056,0.056036907234337185
10km,10km,mugla_2021_to_montiferru_2021,0.5491945997913633,0.4170325468479076,0.6661636655569569,False,False,0.5912728261706808,-0.04207822637931746
10km,10km,evia_2021_extended_to_manavgat_2021,0.6784731270021843,0.5947771281575454,0.7501997734515463,True,False,0.6589237682520707,0.019549358750113655
10km,10km,evia_2021_extended_to_bejis_2022,0.5207648805315991,0.4635507696660388,0.5759635457760912,False,False,0.4519953141726081,0.06876956635899101
10km,10km,evia_2021_extended_to_mugla_2021,0.6369476913190233,0.5790785758173488,0.6909539021769986,True,False,0.5287180148460232,0.10822967647300008
10km,10km,evia_2021_extended_to_montiferru_2021,0.7099218420884966,0.5922811802012876,0.8125042761326862,True,False,0.5923240923973149,0.11759774969118175
10km,10km,montiferru_2021_to_manavgat_2021,0.6540667927313994,0.5780736869594555,0.7306587124007221,True,False,0.5908582811583265,0.06320851157307295
10km,10km,montiferru_2021_to_bejis_2022,0.6240372846438166,0.5389075916507231,0.7030498741795241,True,False,0.6610190664700774,-0.03698178182626077
10km,10km,montiferru_2021_to_mugla_2021,0.603046166950845,0.5478848546510474,0.654342479085596,True,False,0.626890864297381,-0.023844697346535937
10km,10km,montiferru_2021_to_evia_2021_extended,0.7000579726923184,0.6217822473947885,0.7665784124075369,True,False,0.6554973489844985,0.04456062370781988
